,author_id,info_gain,features,feature_stats,tfidf,author,feature_names
0,0,"[np.float64(0.03441788914798738), np.float64(0.034122324730195164), np.float64(0.033677095006621416), np.float64(0.027056016532603033), np.float64(0.02678621110294488)]","[151, 867, 1190, 1382, 795]","[0, 0, 0, 0, 0]","[np.float64(0.004014683851133541), np.float64(0.01817091684878924), np.float64(0.0037241048422334178), np.float64(0.0), np.float64(0.0378937834060394)]",Abgaryan,"['(ADJ, ->, ADJ, obl)' '(VERB, <-, NOUN, obj)' '(PRON, ->, ADJ, conj)'
 '(X, <-, X, amod)' '(ADV, <-, PRON, cop)']"
1,1,"[np.float64(0.035891051104903204), np.float64(0.027898620125092477), np.float64(0.021433568840103057), np.float64(0.019548836007770687), np.float64(0.017851316500513303)]","[1188, 1149, 1101, 1018, 169]","[74, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.007588419292257594), np.float64(0.0), np.float64(0.006361028889741283), np.float64(0.0)]",Adamov,"['(INTJ, ->, VERB, parataxis)' '(ADJ, ->, AUX, xcomp)'
 '(NOUN, ->, NUM, acl:relcl)' '(NUM, ->, VERB, conj)'
 '(PRON, ->, SCONJ, appos)']"
2,2,"[np.float64(0.06644039055712747), np.float64(0.05599419354442525), np.float64(0.04647820314491291), np.float64(0.04594777538685513), np.float64(0.04040125845141518)]","[257, 1201, 262, 1257, 1166]","[105, 0, 27, 0, 0]","[np.float64(0.011749249293074934), np.float64(0.00040461546330467434), np.float64(0.00031647138735673667), np.float64(0.00047080643359011606), np.float64(0.025568161576094477)]",Aksakov,"['(PRON, <-, ADV, advmod)' '(PRON, <-, PART, cc)' '(AUX, ->, ADV, conj)'
 '(VERB, ->, INTJ, ccomp)' '(AUX, ->, VERB, csubj)']"
3,3,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237)]","[493, 51, 388, 849, 1158]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0028587242525727613), np.float64(0.012542343394256559), np.float64(0.0062711716971282794), np.float64(0.012542343394256559)]",AkuninBorisova,"['(NOUN, ->, NOUN, obl)' '(NUM, ->, VERB, advcl)' '(PRON, <-, DET, det)'
 '(VERB, <-, ADV, obl)' '(AUX, <-, ADV, mark)']"
4,4,"[np.float64(0.03313593963410566), np.float64(0.0201812351992674), np.float64(0.017928447860171448), np.float64(0.01769825335744213), np.float64(0.015792832091578335)]","[1188, 1397, 689, 202, 346]","[0, 0, 0, 74, 0]","[np.float64(0.0010175275253604286), np.float64(0.004855456368918521), np.float64(0.009951453306455634), np.float64(0.0), np.float64(0.008018027143438846)]",AkuninBrusnikin,"['(INTJ, ->, VERB, parataxis)' '(PRON, <-, PART, obl)'
 '(NOUN, <-, PRON, iobj)' '(VERB, ->, ADV, xcomp)'
 '(PRON, ->, PART, orphan)']"
5,5,"[np.float64(0.05662647646932428), np.float64(0.05012863613359708), np.float64(0.048444561063603064), np.float64(0.04753267492213631), np.float64(0.04697732137744404)]","[665, 908, 1431, 775, 1280]","[0, 1, 0, 1, 0]","[np.float64(0.0), np.float64(0.006226547442826786), np.float64(0.002082666010676298), np.float64(0.005548046242417026), np.float64(0.00042738323239234504)]",Akunin,"['(AUX, ->, ADJ, obl)' '(DET, ->, NOUN, conj)' '(VERB, ->, NUM, iobj)'
 '(NUM, ->, PROPN, parataxis)' '(ADV, ->, ADV, obl)']"
6,6,"[np.float64(0.13303351976634104), np.float64(0.09534054308198625), np.float64(0.0937490235590015), np.float64(0.09281672126401164), np.float64(0.09161298832040932)]","[1093, 1233, 690, 1285, 1105]","[0, 0, 2, 0, 0]","[np.float64(0.008236242308650133), np.float64(0.011925344431349894), np.float64(0.0015493284050849955), np.float64(0.003106732013166105), np.float64(0.01801304815000272)]",Aldanov,"['(NUM, <-, SCONJ, advmod)' '(CCONJ, ->, PROPN, flat:foreign)'
 '(SCONJ, <-, ADP, case)' '(ADJ, <-, SCONJ, root)' '(ADJ, <-, X, amod)']"
7,7,"[np.float64(0.037195694532912604), np.float64(0.027470016042298484), np.float64(0.024575428565376534), np.float64(0.0228311971840508), np.float64(0.022430991235024567)]","[1396, 413, 507, 987, 1262]","[0, 0, 0, 1, 0]","[np.float64(0.002929852114537575), np.float64(0.04885480059878213), np.float64(0.0), np.float64(0.01148397031356835), np.float64(0.004626789730625506)]",Aleshkovsky,"['(NUM, <-, AUX, cop)' '(ADJ, ->, NOUN, nsubj)' '(PROPN, <-, NUM, advmod)'
 '(ADV, ->, PART, conj)' '(PRON, ->, SCONJ, parataxis)']"
8,8,"[np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.021327121377248237)]","[1144, 1029, 1387, 608, 413]","[0, 0, 0, 8, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0015459644546156174), np.float64(0.0), np.float64(0.0035325980102686436)]",Alexander Hofman,"['(PROPN, <-, NOUN, nmod)' '(PROPN, <-, PROPN, det)'
 '(PAD, ->, NUM, conj)' '(PUNCT, <-, ADJ, amod)' '(ADJ, ->, NOUN, nsubj)']"
9,9,"[np.float64(0.04594547932032833), np.float64(0.03782930147823682), np.float64(0.03658838489951888), np.float64(0.033428125618590876), np.float64(0.032455220739621704)]","[1351, 352, 787, 357, 28]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0028834591631977467), np.float64(0.012572850253742966), np.float64(0.00893680863318684), np.float64(0.0)]",Astafiev,"['(DET, ->, ADJ, orphan)' '(NOUN, <-, X, nsubj)'
 '(VERB, <-, INTJ, compound)' '(ADJ, ->, VERB, csubj:pass)'
 '(VERB, ->, PROPN, ccomp)']"
10,10,"[np.float64(0.03651267158853788), np.float64(0.03616922431191083), np.float64(0.03412734440412479), np.float64(0.03263981455785925), np.float64(0.026738403666608734)]","[1364, 1147, 859, 1303, 408]","[0, 0, 0, 0, 0]","[np.float64(0.00875670196391216), np.float64(0.0020831144586053083), np.float64(0.004291129798855729), np.float64(0.002465912089359307), np.float64(0.001363946560154545)]",Bakhtin,"['(ADJ, ->, PROPN, discourse)' '(ADV, <-, PART, cc)'
 '(NUM, ->, VERB, acl)' '(PUNCT, ->, PROPN, appos)'
 '(DET, ->, NOUN, parataxis)']"
11,11,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248015), np.float64(0.020353276079529747)]","[1283, 235, 736, 589, 533]","[0, 0, 2, 0, 0]","[np.float64(0.0), np.float64(0.0025245451129217254), np.float64(0.01262272556460863), np.float64(0.0025245451129217254), np.float64(0.0019871101880039157)]",Barinova,"['(NOUN, ->, ADJ, nummod)' '(NOUN, <-, ADV, discourse)'
 '(ADJ, <-, VERB, advcl)' '(NUM, ->, NOUN, advcl)'
 '(DET, ->, PRON, nsubj)']"
12,12,"[np.float64(0.02035327607952997), np.float64(0.02035327607952997), np.float64(0.019379430781811258), np.float64(0.019379430781811258), np.float64(0.01798822321364224)]","[101, 1092, 815, 1071, 151]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.07552919369389001), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",bashinform 202,"['(ADJ, ->, VERB, conj)' '(PROPN, ->, VERB, acl)'
 '(VERB, <-, VERB, nsubj)' '(NOUN, <-, ADJ, appos)' '(ADJ, ->, ADJ, obl)']"
13,13,"[np.float64(0.05121052330476927), np.float64(0.03747101608941983), np.float64(0.03419146265159978), np.float64(0.033081365720692535), np.float64(0.029011823949997906)]","[331, 425, 380, 358, 818]","[0, 1, 0, 0, 0]","[np.float64(0.001487028833124717), np.float64(0.0), np.float64(0.019971142798701595), np.float64(0.0), np.float64(0.0015517115949184787)]",Belyaev,"['(NOUN, ->, VERB, acl)' '(ADV, ->, NOUN, root)' '(VERB, ->, ADP, conj)'
 '(PROPN, <-, INTJ, punct)' '(VERB, ->, DET, conj)']"
14,14,"[np.float64(0.04487419229822809), np.float64(0.04418210971395786), np.float64(0.0416496890760687), np.float64(0.03973956023694969), np.float64(0.037006823694116786)]","[866, 361, 628, 880, 686]","[13, 0, 4, 0, 1]","[np.float64(0.0), np.float64(0.010175767865746439), np.float64(0.002338891031995353), np.float64(0.010493714754163736), np.float64(0.0)]",Belyanin,"['(PRON, <-, ADJ, nsubj)' '(ADV, <-, PRON, nmod)' '(ADJ, ->, ADJ, iobj)'
 '(PART, ->, VERB, csubj)' '(NOUN, <-, PRON, mark)']"
15,15,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237)]","[815, 1204, 29, 38, 56]","[0, 21, 0, 0, 34]","[np.float64(0.0), np.float64(-5.704316884347017e-11), np.float64(0.0), np.float64(0.006494391317431936), np.float64(0.0)]",Bobkova,"['(VERB, <-, VERB, nsubj)' '(PRON, <-, ADV, case)'
 '(NOUN, ->, PRON, iobj)' '(DET, ->, PART, conj)'
 '(NUM, <-, PART, advmod)']"
16,16,"[np.float64(0.028363563449620433), np.float64(0.022639204715353745), np.float64(0.020210747336286916), np.float64(0.01691549417377758), np.float64(0.014041432338425253)]","[1147, 347, 740, 954, 1385]","[0, 1, 33, 0, 6]","[np.float64(0.0), np.float64(-1.5194825428910688e-11), np.float64(0.0), np.float64(0.004960884534507683), np.float64(0.004768319145052735)]",BonchOsmolovskaya,"['(ADV, <-, PART, cc)' '(NUM, ->, ADJ, obl)' '(VERB, <-, SCONJ, cc)'
 '(AUX, <-, NOUN, obl)' '(AUX, <-, DET, det)']"
17,17,"[np.float64(0.03861866475421594), np.float64(0.036708497037490684), np.float64(0.03523604406988534), np.float64(0.03394560263236479), np.float64(0.030783305770318847)]","[315, 565, 1350, 683, 406]","[0, 1, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0012205996588652993), np.float64(0.005049852858585631), np.float64(0.0011416106697692274)]",Brustein,"['(PROPN, ->, NOUN, det)' '(ADV, <-, ADJ, det)' '(NUM, <-, ADV, advmod)'
 '(PRON, ->, NOUN, conj)' '(DET, <-, DET, advmod)']"
18,18,"[np.float64(0.05473100878615578), np.float64(0.04487829689437839), np.float64(0.04130929942608286), np.float64(0.039510154610745474), np.float64(0.037596406674998084)]","[413, 1140, 96, 910, 1428]","[124, 0, 0, 0, 0]","[np.float64(0.009191753054618132), np.float64(0.0003138776332653761), np.float64(0.035004134343280036), np.float64(0.01811083246057115), np.float64(0.001960846079979258)]",Bulgakov,"['(ADJ, ->, NOUN, nsubj)' '(NOUN, ->, ADV, conj)'
 '(ADJ, ->, PUNCT, nummod)' '(AUX, ->, PRON, root)'
 '(PART, ->, PROPN, parataxis)']"
19,19,"[np.float64(0.07328261043533457), np.float64(0.06691741850393518), np.float64(0.06438940993334707), np.float64(0.05532417230159958), np.float64(0.053102801756537366)]","[1192, 59, 457, 461, 877]","[0, 0, 0, 0, 0]","[np.float64(5.95673568866984e-05), np.float64(0.0007166832076305519), np.float64(0.022362599926231394), np.float64(0.0), np.float64(0.00474575922577387)]",Bulychev,"['(DET, <-, PUNCT, root)' '(VERB, ->, PROPN, xcomp)'
 '(ADV, <-, AUX, advcl)' '(PRON, <-, PART, orphan)'
 '(PROPN, <-, ADJ, nsubj)']"
20,20,"[np.float64(0.061763424048711935), np.float64(0.056374429022236106), np.float64(0.04724113361058491), np.float64(0.047023797007017754), np.float64(0.04474916937587037)]","[527, 667, 689, 354, 186]","[0, 0, 0, 21, 0]","[np.float64(0.004541850670573769), np.float64(0.004064770639094665), np.float64(0.005873056741332526), np.float64(0.006887106981608377), np.float64(-2.315371016451514e-11)]",Bushkov,"['(NOUN, <-, NOUN, conj)' '(VERB, ->, ADJ, parataxis)'
 '(NOUN, <-, PRON, iobj)' '(PRON, ->, CCONJ, advmod)'
 '(VERB, <-, PRON, nmod)']"
21,21,"[np.float64(0.05622651534600176), np.float64(0.05138411464200909), np.float64(0.05124379807902213), np.float64(0.04041026568815109), np.float64(0.03792481663460734)]","[463, 1373, 1261, 727, 159]","[0, 1, 0, 0, 0]","[np.float64(0.004692487260867614), np.float64(0.002701388755400655), np.float64(0.015745338450891214), np.float64(0.003845108546819707), np.float64(0.021896220738706153)]",Bykov,"['(PROPN, <-, VERB, amod)' '(VERB, ->, VERB, cop)' '(ADJ, <-, PRON, mark)'
 '(NOUN, ->, DET, nummod:gov)' '(PUNCT, <-, PRON, root)']"
22,22,"[np.float64(0.019379430781811258), np.float64(0.01150320850659059), np.float64(0.010073375758888004), np.float64(0.00725909452261575), np.float64(0.0065977365371031604)]","[1078, 1315, 1096, 407, 347]","[0, 0, 110, 0, 6]","[np.float64(0.009705092678246265), np.float64(0.0), np.float64(0.0), np.float64(0.003813513888928035), np.float64(0.0)]",Chechin,"['(PROPN, ->, PROPN, conj)' '(VERB, ->, NOUN, conj)'
 '(VERB, ->, NOUN, nsubj)' '(NOUN, ->, PROPN, advmod)'
 '(NUM, ->, ADJ, obl)']"
23,23,"[np.float64(0.11881411038933287), np.float64(0.11654660450340582), np.float64(0.10150446780095501), np.float64(0.09608941184226583), np.float64(0.09038595330395438)]","[825, 282, 983, 852, 547]","[0, 0, 4, 100, 0]","[np.float64(0.004589756072230144), np.float64(0.014807302724460339), np.float64(0.002861426377718091), np.float64(0.004326339604174242), np.float64(0.0065051683871587135)]",Chekhov,"['(DET, ->, PART, appos)' '(SYM, ->, NUM, parataxis)'
 '(ADJ, ->, PROPN, flat:foreign)' '(NOUN, <-, PART, cc)'
 '(ADP, <-, NUM, advmod)']"
24,24,"[np.float64(0.06054477566191696), np.float64(0.059392976639732975), np.float64(0.0546237780474893), np.float64(0.051793653637948855), np.float64(0.05009988132121246)]","[1156, 88, 346, 307, 722]","[0, 116, 20, 0, 0]","[np.float64(0.0008109861483663626), np.float64(0.0), np.float64(0.01754890689427805), np.float64(0.007827260191131995), np.float64(0.006572780631639012)]",Cherkasova,"['(ADV, <-, ADV, parataxis)' '(PROPN, <-, VERB, parataxis)'
 '(PRON, ->, PART, orphan)' '(NOUN, ->, ADJ, nsubj)'
 '(ADJ, ->, PROPN, flat:name)']"
25,25,"[np.float64(0.05400690195836966), np.float64(0.04593107595409118), np.float64(0.04535399542692753), np.float64(0.04055901687986885), np.float64(0.04030156957583275)]","[1389, 1168, 243, 537, 1428]","[11, 0, 0, 3, 0]","[np.float64(0.0), np.float64(0.002280693770746655), np.float64(0.001115649409730085), np.float64(0.02369997021857092), np.float64(0.024612252116263632)]",Convlab,"['(PROPN, ->, ADJ, parataxis)' '(NOUN, <-, DET, obj)'
 '(X, ->, INTJ, fixed)' '(VERB, <-, NOUN, nummod:gov)'
 '(PART, ->, PROPN, parataxis)']"
26,26,"[np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.022300966674966505)]","[867, 56, 162, 168, 413]","[0, 0, 0, 0, 124]","[np.float64(0.000947605084789913), np.float64(0.001895210169579826), np.float64(0.00122045602230627), np.float64(0.001895210169579826), np.float64(0.001895210169579826)]",Derevyanko,"['(VERB, <-, NOUN, obj)' '(NUM, <-, PART, advmod)' '(ADV, ->, ADP, case)'
 '(PRON, ->, NUM, nummod:gov)' '(ADJ, ->, NOUN, nsubj)']"
27,27,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.019379430781811258), np.float64(0.01687525715910676), np.float64(0.009466064608011027)]","[57, 56, 493, 1325, 408]","[1, 0, 30, 0, 0]","[np.float64(-8.064515722209117e-11), np.float64(0.0024122265059146357), np.float64(0.03620087587158474), np.float64(0.0), np.float64(0.0)]",DoctorPiter,"['(PROPN, ->, PUNCT, nmod)' '(NUM, <-, PART, advmod)'
 '(NOUN, ->, NOUN, obl)' '(PRON, ->, PRON, orphan)'
 '(DET, ->, NOUN, parataxis)']"
28,28,"[np.float64(0.061762951891698004), np.float64(0.05941667679372342), np.float64(0.04013925898511528), np.float64(0.036241189562785436), np.float64(0.03345623963636335)]","[1350, 795, 802, 518, 1078]","[0, 0, 122, 2, 1]","[np.float64(0.005714146644994999), np.float64(0.03497930491310318), np.float64(0.0), np.float64(0.012038417798089658), np.float64(0.002985528744817668)]",Dombrowski,"['(NUM, <-, ADV, advmod)' '(ADV, <-, PRON, cop)' '(ADJ, ->, VERB, advcl)'
 '(VERB, ->, VERB, punct)' '(PROPN, ->, PROPN, conj)']"
29,29,"[np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.021327121377248237)]","[322, 111, 115, 1191, 973]","[0, 15, 0, 0, 0]","[np.float64(0.0794439358002273), np.float64(0.010485385608836315), np.float64(0.0), np.float64(0.014444351963677689), np.float64(0.0)]",Doronina,"['(PRON, <-, ADV, mark)' '(ADJ, ->, NOUN, nmod)'
 '(NOUN, ->, PROPN, fixed)' '(ADJ, ->, PRON, mark)'
 '(NOUN, <-, PUNCT, punct)']"
30,30,"[np.float64(0.12570318642424072), np.float64(0.08659365281317188), np.float64(0.08493392036771286), np.float64(0.08168924846510994), np.float64(0.07815088364710032)]","[1154, 1159, 1126, 818, 32]","[0, 0, 0, 0, 0]","[np.float64(0.001406842245808187), np.float64(0.06545783815770909), np.float64(0.027588269552937514), np.float64(0.008204385759004834), np.float64(0.002217196795565497)]",Dostoevsky,"['(ADV, <-, PUNCT, discourse)' '(PROPN, ->, X, orphan)'
 '(SCONJ, ->, PART, aux)' '(VERB, ->, DET, conj)' '(VERB, ->, PUNCT, cc)']"
31,31,"[np.float64(0.04141838543012355), np.float64(0.03793163024960533), np.float64(0.03388362718671467), np.float64(0.02996194536862018), np.float64(0.02309681031495714)]","[1356, 92, 1146, 1140, 234]","[0, 0, 0, 0, 0]","[np.float64(0.0036248778041712464), np.float64(0.03102853179662185), np.float64(0.0009062194510428116), np.float64(0.008680248167119077), np.float64(0.0)]",Dovlatov,"['(PROPN, ->, NUM, nummod)' '(ADJ, <-, NOUN, nsubj:pass)'
 '(VERB, <-, PRON, case)' '(NOUN, ->, ADV, conj)' '(PROPN, <-, ADV, obl)']"
32,32,"[np.float64(0.034663275646467095), np.float64(0.028928043843132523), np.float64(0.02554326239159388), np.float64(0.02443072855048012), np.float64(0.02372204530273514)]","[463, 775, 851, 388, 863]","[0, 0, 0, 83, 0]","[np.float64(0.01411946640322918), np.float64(0.0007225170204367143), np.float64(0.0006478469827909333), np.float64(0.006399455585004109), np.float64(0.0)]",Dragunski,"['(PROPN, <-, VERB, amod)' '(NUM, ->, PROPN, parataxis)'
 '(NOUN, <-, NUM, nummod)' '(PRON, <-, DET, det)' '(PART, ->, VERB, root)']"
33,33,"[np.float64(0.021327121377248237), np.float64(0.019379430781811258), np.float64(0.01798822321364224), np.float64(0.008798284975289894), np.float64(0.008195861522282022)]","[824, 802, 1428, 1156, 1357]","[0, 0, 1, 75, 1]","[np.float64(0.013140257150453366), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Drobyshevsky Rupasova,"['(VERB, <-, ADV, parataxis)' '(ADJ, ->, VERB, advcl)'
 '(PART, ->, PROPN, parataxis)' '(ADV, <-, ADV, parataxis)'
 '(VERB, <-, NOUN, obl)']"
34,34,"[np.float64(0.06878217566200773), np.float64(0.06055760676468169), np.float64(0.05688993814684662), np.float64(0.050335151110332266), np.float64(0.049205895537555056)]","[242, 663, 1011, 225, 1026]","[26, 0, 0, 2, 0]","[np.float64(0.014378162842519518), np.float64(0.0035067544860710826), np.float64(0.006286520836236773), np.float64(0.0009515690320157182), np.float64(0.0016732749159252885)]",Drobyshevsky,"['(PROPN, ->, DET, det)' '(ADJ, ->, PART, obl)'
 '(DET, <-, VERB, parataxis)' '(AUX, <-, ADJ, root)'
 '(PROPN, ->, NUM, flat:foreign)']"
35,35,"[np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[306, 1096, 28, 582, 664]","[0, 0, 1, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0002415251984034869), np.float64(0.0), np.float64(0.004664986412998275)]",Dubchak,"['(PRON, ->, ADV, advmod)' '(VERB, ->, NOUN, nsubj)'
 '(VERB, ->, PROPN, ccomp)' '(NUM, <-, CCONJ, advmod)'
 '(PROPN, ->, PROPN, nsubj)']"
36,36,"[np.float64(0.01604053261820526), np.float64(0.013675479752317865), np.float64(0.011199130280976743), np.float64(0.009673481009083607), np.float64(0.008374562074788039)]","[388, 686, 1315, 97, 942]","[0, 0, 30, 0, 0]","[np.float64(-9.616969345053462e-12), np.float64(-5.289333139779405e-12), np.float64(0.019796390382927943), np.float64(0.0), np.float64(0.0)]",EdimDoma,"['(PRON, <-, DET, det)' '(NOUN, <-, PRON, mark)' '(VERB, ->, NOUN, conj)'
 '(VERB, ->, NUM, nummod)' '(VERB, ->, NOUN, obl)']"
37,37,"[np.float64(0.059329794331804186), np.float64(0.05844857436435369), np.float64(0.05735781997198308), np.float64(0.04820524676113225), np.float64(0.046669874158976166)]","[186, 1428, 476, 202, 8]","[0, 0, 0, 0, 2]","[np.float64(0.0), np.float64(0.0005529264692563356), np.float64(0.0), np.float64(0.01062844989425731), np.float64(0.010104489007605787)]",Efremov,"['(VERB, <-, PRON, nmod)' '(PART, ->, PROPN, parataxis)'
 '(NOUN, ->, ADV, appos)' '(VERB, ->, ADV, xcomp)'
 '(NOUN, ->, DET, nsubj)']"
38,38,"[np.float64(0.04054084811160341), np.float64(0.039647236849952416), np.float64(0.035474996115996915), np.float64(0.03474032990712095), np.float64(0.03419461197871165)]","[1282, 1373, 604, 646, 57]","[0, 85, 1, 0, 0]","[np.float64(0.002124679324239409), np.float64(0.0), np.float64(0.0), np.float64(0.00673207998244165), np.float64(0.006091574949398248)]",Epstein,"['(ADV, ->, ADJ, advcl)' '(VERB, ->, VERB, cop)'
 '(ADV, <-, PRON, discourse)' '(ADJ, ->, PRON, iobj)'
 '(PROPN, ->, PUNCT, nmod)']"
39,39,"[np.float64(0.0433026201105986), np.float64(0.0351716657730623), np.float64(0.02798728225671876), np.float64(0.026390917995613217), np.float64(0.019413472242218677)]","[378, 1393, 725, 111, 651]","[0, 0, 0, 0, 0]","[np.float64(0.002238813254098046), np.float64(0.0), np.float64(0.008242991280827288), np.float64(0.011684582281157459), np.float64(0.0)]",Exler,"['(VERB, <-, AUX, advcl)' '(ADP, ->, NUM, nsubj)'
 '(ADJ, ->, PART, parataxis)' '(ADJ, ->, NOUN, nmod)'
 '(VERB, <-, ADP, case)']"
40,40,"[np.float64(0.04025653497887871), np.float64(0.03677423862630702), np.float64(0.03380791648077097), np.float64(0.03298213671375394), np.float64(0.0294754001523434)]","[1007, 824, 725, 650, 1261]","[0, 0, 71, 124, 0]","[np.float64(0.004194219479780675), np.float64(0.006088921880278745), np.float64(0.0011402857918630747), np.float64(0.0024213593340485623), np.float64(0.00513395861013318)]",Fadeev,"['(VERB, ->, NOUN, orphan)' '(VERB, <-, ADV, parataxis)'
 '(ADJ, ->, PART, parataxis)' '(NOUN, <-, PROPN, root)'
 '(ADJ, <-, PRON, mark)']"
