,author_id,info_gain,features,feature_stats,tfidf,author,feature_names
41,41,"[np.float64(0.05476141136602375), np.float64(0.04443444377765193), np.float64(0.04239997453302535), np.float64(0.04139143624736841), np.float64(0.04104863682894222)]","[47, 902, 758, 156, 493]","[0, 0, 0, 0, 0]","[np.float64(0.06412949518526297), np.float64(0.039413204914616924), np.float64(0.0), np.float64(0.002351656972118304), np.float64(0.002709459790932166)]",Furmanov,"['(PART, <-, VERB, nsubj)' '(ADP, <-, CCONJ, fixed)'
 '(ADJ, ->, PRON, obl)' '(CCONJ, ->, PROPN, root)' '(NOUN, ->, NOUN, obl)']"
42,42,"[np.float64(0.029562794900684697), np.float64(0.020251195028485935), np.float64(0.018520693874782723), np.float64(0.01615689345830673), np.float64(0.01520072620962487)]","[425, 595, 821, 927, 1049]","[0, 0, 0, 0, 0]","[np.float64(0.0024633103837704467), np.float64(0.0), np.float64(0.0), np.float64(0.011622177820282709), np.float64(0.01250664596288317)]",Gachev,"['(ADV, ->, NOUN, root)' '(AUX, <-, NOUN, advcl)' '(AUX, <-, SCONJ, mark)'
 '(NOUN, <-, ADP, parataxis)' '(NOUN, ->, CCONJ, advmod)']"
43,43,"[np.float64(0.0147535437066727), np.float64(0.009686441063829654), np.float64(0.009392041866768674), np.float64(0.008218049020463192), np.float64(0.007896502799218608)]","[802, 1282, 1144, 56, 307]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.022537550244230674), np.float64(0.0), np.float64(0.00912069333246716), np.float64(0.000697458169796583)]",Gasymov,"['(ADJ, ->, VERB, advcl)' '(ADV, ->, ADJ, advcl)'
 '(PROPN, <-, NOUN, nmod)' '(NUM, <-, PART, advmod)'
 '(NOUN, ->, ADJ, nsubj)']"
44,44,"[np.float64(0.03229966462478895), np.float64(0.03023935801625166), np.float64(0.026652727801289133), np.float64(0.026520514201904377), np.float64(0.02602354578829047)]","[39, 1203, 579, 1140, 234]","[0, 0, 0, 0, 0]","[np.float64(0.004569358020588539), np.float64(0.0007639550525989418), np.float64(0.005042441166520809), np.float64(0.004537905454795371), np.float64(0.041136517208812264)]",Gaydar,"['(PRON, <-, VERB, advmod)' '(ADJ, <-, PRON, det)'
 '(DET, <-, NUM, nummod:gov)' '(NOUN, ->, ADV, conj)'
 '(PROPN, <-, ADV, obl)']"
45,45,"[np.float64(0.021327121377248015), np.float64(0.02035327607952997), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.018405585484092768)]","[667, 736, 166, 651, 1350]","[0, 0, 0, 15, 0]","[np.float64(0.0), np.float64(0.01661255347359357), np.float64(0.0), np.float64(0.0), np.float64(0.0007150611981322234)]",GazetaRu,"['(VERB, ->, ADJ, parataxis)' '(ADJ, <-, VERB, advcl)'
 '(VERB, ->, VERB, parataxis)' '(VERB, <-, ADP, case)'
 '(NUM, <-, ADV, advmod)']"
46,46,"[np.float64(0.030217538758825824), np.float64(0.02848929544328538), np.float64(0.026795251340032467), np.float64(0.025825113580275616), np.float64(0.024947024415237662)]","[306, 881, 335, 1246, 553]","[0, 0, 1, 0, 0]","[np.float64(0.0030386392212702514), np.float64(0.0), np.float64(0.006582924440483563), np.float64(0.002861817079476812), np.float64(0.0010085101436807474)]",Gelb,"['(PRON, ->, ADV, advmod)' '(DET, ->, ADJ, amod)' '(VERB, ->, DET, nmod)'
 '(VERB, ->, PART, cc)' '(ADJ, ->, ADJ, acl:relcl)']"
47,47,"[np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[1201, 1356, 821, 56, 146]","[0, 0, 27, 0, 58]","[np.float64(0.0010055423214084733), np.float64(0.010376356062843735), np.float64(0.0), np.float64(0.0008031624782596694), np.float64(0.0)]",Gorelov,"['(PRON, <-, PART, cc)' '(PROPN, ->, NUM, nummod)'
 '(AUX, <-, SCONJ, mark)' '(NUM, <-, PART, advmod)'
 '(NOUN, ->, DET, parataxis)']"
48,48,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.01840558548409299), np.float64(0.01645789488865601), np.float64(0.01328594163323027)]","[1117, 1357, 852, 851, 824]","[0, 124, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(6.735755162760834e-05), np.float64(-9.043581746017049e-13)]",GorVestnik,"['(ADJ, <-, PART, advmod)' '(VERB, <-, NOUN, obl)' '(NOUN, <-, PART, cc)'
 '(NOUN, <-, NUM, nummod)' '(VERB, <-, ADV, parataxis)']"
49,49,"[np.float64(0.03798394164483965), np.float64(0.03333305260111041), np.float64(0.029899484050033842), np.float64(0.027550584398772893), np.float64(0.025306103132339608)]","[711, 430, 1123, 1357, 1350]","[1, 109, 1, 0, 0]","[np.float64(0.0), np.float64(0.002995950107057045), np.float64(0.005101026763597901), np.float64(0.00695246816624599), np.float64(0.03372820257052657)]",Granin,"['(PROPN, ->, PROPN, nmod)' '(AUX, ->, ADP, advmod)'
 '(NOUN, ->, ADJ, advmod)' '(VERB, <-, NOUN, obl)'
 '(NUM, <-, ADV, advmod)']"
50,50,"[np.float64(0.053938648350088325), np.float64(0.05070997489047624), np.float64(0.049809646846835864), np.float64(0.04389378528819332), np.float64(0.03932042439041594)]","[724, 1056, 651, 1282, 56]","[0, 0, 0, 56, 55]","[np.float64(0.021310407082918634), np.float64(0.0036488104976943538), np.float64(0.0016026924077213694), np.float64(0.0007892908993297056), np.float64(0.004678210508444932)]",Grekova,"['(PRON, ->, ADP, orphan)' '(NOUN, <-, SCONJ, advmod)'
 '(VERB, <-, ADP, case)' '(ADV, ->, ADJ, advcl)' '(NUM, <-, PART, advmod)']"
51,51,"[np.float64(0.06382523260229922), np.float64(0.06131593341821906), np.float64(0.060600472636017866), np.float64(0.06046300215578593), np.float64(0.05968204216307882)]","[1337, 1063, 619, 1428, 802]","[0, 0, 14, 1, 1]","[np.float64(0.0), np.float64(0.010313239143987131), np.float64(0.00043222852001902095), np.float64(0.003120231125470498), np.float64(-1.1861870495179261e-11)]",Grin,"['(DET, ->, DET, advmod)' '(PRON, <-, NOUN, parataxis)'
 '(PRON, <-, ADV, discourse)' '(PART, ->, PROPN, parataxis)'
 '(ADJ, ->, VERB, advcl)']"
52,52,"[np.float64(0.03041647636192102), np.float64(0.0291506033460478), np.float64(0.029110920806365348), np.float64(0.02876435995980453), np.float64(0.027609598055042373)]","[372, 234, 824, 758, 981]","[0, 0, 0, 9, 0]","[np.float64(0.0), np.float64(0.026392392931931637), np.float64(0.013261972287888439), np.float64(0.02390626285085717), np.float64(0.021420132769782708)]",Gusev,"['(NUM, ->, ADV, fixed)' '(PROPN, <-, ADV, obl)'
 '(VERB, <-, ADV, parataxis)' '(ADJ, ->, PRON, obl)'
 '(DET, ->, PROPN, orphan)']"
53,53,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.019379430781811258), np.float64(0.01701437791592375)]","[869, 1425, 853, 486, 463]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00042018034709880497)]",Gusiatnikova,"['(ADJ, <-, ADP, advmod)' '(ADV, ->, VERB, acl:relcl)'
 '(VERB, <-, NOUN, mark)' '(VERB, ->, ADJ, fixed)'
 '(PROPN, <-, VERB, amod)']"
54,54,"[np.float64(0.04600446405987202), np.float64(0.045884100670051664), np.float64(0.04294329751344639), np.float64(0.04198253833017529), np.float64(0.040888396689099826)]","[415, 628, 1246, 24, 1229]","[0, 0, 0, 0, 0]","[np.float64(0.03628755581116578), np.float64(0.0), np.float64(0.0040839179671610165), np.float64(0.0008750150909668133), np.float64(0.003792696791732069)]",Hoffman,"['(ADV, <-, ADV, advcl)' '(ADJ, ->, ADJ, iobj)' '(VERB, ->, PART, cc)'
 '(ADV, ->, PART, discourse)' '(PROPN, <-, NUM, amod)']"
55,55,"[np.float64(0.06038058941105262), np.float64(0.0498573610870936), np.float64(0.041752379359061065), np.float64(0.03935534393547746), np.float64(0.03913873735461659)]","[578, 1174, 819, 28, 30]","[0, 0, 0, 0, 0]","[np.float64(0.005242828303375156), np.float64(0.005024294367393598), np.float64(0.0013969411716458842), np.float64(0.009926600871431735), np.float64(0.0)]",Kassil,"['(PART, <-, INTJ, discourse)' '(VERB, ->, PRON, iobj)'
 '(AUX, ->, ADV, nsubj)' '(VERB, ->, PROPN, ccomp)'
 '(NOUN, ->, SCONJ, conj)']"
56,56,"[np.float64(0.05696714418143478), np.float64(0.05401463384376126), np.float64(0.05077018335428729), np.float64(0.047972993542581), np.float64(0.044007408704309414)]","[588, 762, 461, 1204, 1323]","[1, 0, 0, 0, 0]","[np.float64(0.004803950706360121), np.float64(0.0028160794483863432), np.float64(0.06130142391197725), np.float64(0.0022844050536016776), np.float64(0.00027182629826521534)]",Kataev,"['(NOUN, <-, PRON, amod)' '(NOUN, <-, INTJ, cc)'
 '(PRON, <-, PART, orphan)' '(PRON, <-, ADV, case)' '(PAD, <-, NUM, root)']"
57,57,"[np.float64(0.08207630927843912), np.float64(0.07957171995972634), np.float64(0.0710402696774648), np.float64(0.05967425429802575), np.float64(0.05877188200574124)]","[522, 877, 795, 623, 1174]","[0, 0, 0, 0, 1]","[np.float64(0.011986693727048723), np.float64(0.0019104579913060194), np.float64(0.0), np.float64(0.005481012249522957), np.float64(0.002029377310081973)]",Kaverin,"['(ADP, ->, PROPN, advcl)' '(PROPN, <-, ADJ, nsubj)'
 '(ADV, <-, PRON, cop)' '(ADJ, <-, NOUN, nmod)' '(VERB, ->, PRON, iobj)']"
58,58,"[np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.021327121377248237), np.float64(0.01604053261820526), np.float64(0.011447560203863949)]","[802, 1166, 1169, 251, 779]","[0, 0, 123, 2, 0]","[np.float64(0.006481026857099109), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.05184821485679287)]",Kirsanova Anodina Aksenov,"['(ADJ, ->, VERB, advcl)' '(AUX, ->, VERB, csubj)' '(NOUN, <-, X, nummod)'
 '(ADJ, <-, ADJ, conj)' '(ADJ, ->, X, flat:foreign)']"
59,59,"[np.float64(0.03047335466879919), np.float64(0.024065111283556928), np.float64(0.02226102934752683), np.float64(0.022210541093485636), np.float64(0.020587545798532725)]","[40, 736, 1200, 516, 801]","[0, 0, 2, 0, 1]","[np.float64(0.039343791787896376), np.float64(0.0), np.float64(0.003738127618326629), np.float64(0.006835313051952541), np.float64(0.004612731798565344)]",Knabe,"['(X, ->, NUM, case)' '(ADJ, <-, VERB, advcl)' '(X, <-, PART, cc)'
 '(NUM, <-, ADP, root)' '(NOUN, ->, SYM, mark)']"
60,60,"[np.float64(0.023274811972684994), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.02035327607952997)]","[450, 277, 790, 815, 533]","[2, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.06723518508068681), np.float64(0.022411728360228936), np.float64(0.01626903128699868)]",Koni,"['(DET, <-, ADV, obl)' '(CCONJ, ->, PART, advmod)'
 '(ADV, <-, CCONJ, advmod)' '(VERB, <-, VERB, nsubj)'
 '(DET, ->, PRON, nsubj)']"
61,61,"[np.float64(0.0369785092602527), np.float64(0.03562400118773801), np.float64(0.030990684818933523), np.float64(0.027942278268439535), np.float64(0.025667961680987395)]","[1144, 519, 1383, 1373, 821]","[0, 0, 8, 0, 77]","[np.float64(0.0), np.float64(0.0031945856880584073), np.float64(0.0), np.float64(0.010296392930322956), np.float64(0.0038649475748506186)]",Kozlov,"['(PROPN, <-, NOUN, nmod)' '(PRON, <-, AUX, cop)' '(DET, ->, PROPN, obl)'
 '(VERB, ->, VERB, cop)' '(AUX, <-, SCONJ, mark)']"
62,62,"[np.float64(0.0892715383810112), np.float64(0.07107983641009086), np.float64(0.0664808150778653), np.float64(0.0615674261868171), np.float64(0.05951137169281062)]","[56, 1017, 869, 413, 715]","[2, 0, 0, 124, 0]","[np.float64(0.0009788489606077076), np.float64(0.00852097675818894), np.float64(0.0), np.float64(0.02780518195935406), np.float64(0.0)]",Krapivin,"['(NUM, <-, PART, advmod)' '(INTJ, <-, NOUN, root)'
 '(ADJ, <-, ADP, advmod)' '(ADJ, ->, NOUN, nsubj)'
 '(PROPN, ->, ADJ, conj)']"
63,63,"[np.float64(0.07404267528052577), np.float64(0.06175266819062586), np.float64(0.061630588194609204), np.float64(0.0540283832823929), np.float64(0.05308223618927643)]","[1256, 963, 750, 1007, 261]","[0, 86, 0, 0, 0]","[np.float64(0.007654549673640009), np.float64(0.00031243489264696096), np.float64(0.005314116107772791), np.float64(0.0018986135728378479), np.float64(0.0014057087044027775)]",Kuprin,"['(NOUN, ->, PRON, nsubj)' '(NUM, ->, ADJ, fixed)' '(ADJ, ->, NOUN, amod)'
 '(VERB, ->, NOUN, orphan)' '(ADJ, ->, INTJ, parataxis)']"
64,64,"[np.float64(0.018608111326237853), np.float64(0.016975406256310555), np.float64(0.015468934799379608), np.float64(0.015419722523176804), np.float64(0.015106551653283007)]","[1387, 465, 1078, 331, 519]","[2, 0, 0, 0, 0]","[np.float64(0.014103647894894414), np.float64(0.00671013194139642), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Lermontov,"['(PAD, ->, NUM, conj)' '(PRON, ->, ADV, obl)' '(PROPN, ->, PROPN, conj)'
 '(NOUN, ->, VERB, acl)' '(PRON, <-, AUX, cop)']"
65,65,"[np.float64(0.10521758264806813), np.float64(0.10406039279844415), np.float64(0.10183889671268676), np.float64(0.10108637939481502), np.float64(0.08833766557274325)]","[725, 125, 142, 98, 1246]","[0, 0, 0, 0, 2]","[np.float64(0.0011827161559182192), np.float64(0.0013205392194158027), np.float64(0.0019271880021603843), np.float64(0.0), np.float64(0.0037349561301517733)]",Losev,"['(ADJ, ->, PART, parataxis)' '(ADV, ->, ADV, csubj)'
 '(DET, ->, PAD, fixed)' '(X, ->, PROPN, amod)' '(VERB, ->, PART, cc)']"
66,66,"[np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[863, 867, 1078, 1100, 1204]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.013901687887346291), np.float64(0.0), np.float64(0.0074474350489929725), np.float64(0.0)]",Lubimova,"['(PART, ->, VERB, root)' '(VERB, <-, NOUN, obj)'
 '(PROPN, ->, PROPN, conj)' '(VERB, ->, ADP, advmod)'
 '(PRON, <-, ADV, case)']"
67,67,"[np.float64(0.06270471797234523), np.float64(0.05830706796661933), np.float64(0.05644491883105063), np.float64(0.054812516964872326), np.float64(0.05233388158997587)]","[845, 322, 863, 1190, 280]","[0, 1, 0, 15, 12]","[np.float64(0.011198604131331936), np.float64(0.0018940284900212604), np.float64(0.00221746221338845), np.float64(0.008319318197730461), np.float64(0.0017475619468559943)]",Lukyanenko,"['(NOUN, <-, ADP, cc)' '(PRON, <-, ADV, mark)' '(PART, ->, VERB, root)'
 '(PRON, ->, ADJ, conj)' '(ADJ, <-, SCONJ, obl)']"
68,68,"[np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.022300966674966505)]","[12, 1166, 493, 852, 954]","[0, 0, 0, 0, 0]","[np.float64(0.05083489811714598), np.float64(0.001150848429945187), np.float64(0.0018827740043387397), np.float64(0.0037655480086774794), np.float64(0.0016717167773999879)]",Lungu,"['(ADP, ->, ADJ, root)' '(AUX, ->, VERB, csubj)' '(NOUN, ->, NOUN, obl)'
 '(NOUN, <-, PART, cc)' '(AUX, <-, NOUN, obl)']"
69,69,"[np.float64(0.06956552802949989), np.float64(0.0608672888685865), np.float64(0.04115168083905474), np.float64(0.039303697815198824), np.float64(0.03339952179158223)]","[1096, 1162, 1362, 659, 331]","[0, 0, 0, 124, 0]","[np.float64(0.021049161120486402), np.float64(0.009421026814480765), np.float64(0.0034241983261271616), np.float64(0.0009408433026070239), np.float64(0.023547835756227403)]",Makushinskiyi,"['(VERB, ->, NOUN, nsubj)' '(NOUN, ->, PRON, amod)'
 '(X, <-, X, flat:foreign)' '(VERB, <-, NOUN, nummod:entity)'
 '(NOUN, ->, VERB, acl)']"
70,70,"[np.float64(0.03533391786307527), np.float64(0.03307927774647246), np.float64(0.03130921310660728), np.float64(0.03008796503414668), np.float64(0.03001145991117038)]","[533, 874, 375, 828, 93]","[0, 0, 0, 0, 7]","[np.float64(0.0073191755377048475), np.float64(0.0009376198345572847), np.float64(0.001182900020974148), np.float64(0.002365800041948296), np.float64(0.006717727458941141)]",Malevish,"['(DET, ->, PRON, nsubj)' '(NOUN, ->, NOUN, punct)' '(AUX, ->, DET, obl)'
 '(PROPN, ->, NOUN, flat:foreign)' '(ADJ, ->, X, advmod)']"
71,71,"[np.float64(0.07991828105578702), np.float64(0.07580408334093536), np.float64(0.07228307911892262), np.float64(0.07011544728761143), np.float64(0.0687740993680862)]","[1351, 76, 1268, 225, 465]","[0, 1, 0, 40, 0]","[np.float64(0.0), np.float64(0.0018177576085348357), np.float64(0.028730633553140903), np.float64(0.000194447452956195), np.float64(0.0012222083822009296)]",Mamin-Sibiryak,"['(DET, ->, ADJ, orphan)' '(ADJ, <-, DET, cop)' '(ADJ, <-, PART, cc)'
 '(AUX, <-, ADJ, root)' '(PRON, ->, ADV, obl)']"
72,72,"[np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[540, 624, 1315, 1174, 1432]","[0, 1, 0, 0, 2]","[np.float64(0.011120077660075311), np.float64(0.0), np.float64(0.005560038830037656), np.float64(0.027800194150188275), np.float64(0.004125891983427491)]",Mamina,"['(PART, ->, NOUN, conj)' '(PROPN, ->, PART, advmod)'
 '(VERB, ->, NOUN, conj)' '(VERB, ->, PRON, iobj)' '(VERB, ->, PROPN, cc)']"
73,73,"[np.float64(0.021744483647698987), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.01937943078181148)]","[575, 111, 1024, 1315, 837]","[0, 0, 0, 0, 0]","[np.float64(0.028073638682813075), np.float64(0.0), np.float64(0.0), np.float64(0.0049908005752597445), np.float64(0.00401051981183044)]",Marchik,"['(AUX, ->, ADP, parataxis)' '(ADJ, ->, NOUN, nmod)'
 '(VERB, <-, PART, root)' '(VERB, ->, NOUN, conj)'
 '(NOUN, <-, DET, orphan)']"
74,74,"[np.float64(0.06485118597816175), np.float64(0.0579744616983624), np.float64(0.05343836362929566), np.float64(0.05260961861183211), np.float64(0.04816109050683015)]","[987, 686, 1268, 87, 630]","[0, 0, 0, 0, 0]","[np.float64(0.018761330967649283), np.float64(0.023021224478225123), np.float64(0.03366732570694893), np.float64(0.000970593025749362), np.float64(0.02806217648035648)]",Marinina,"['(ADV, ->, PART, conj)' '(NOUN, <-, PRON, mark)' '(ADJ, <-, PART, cc)'
 '(PART, ->, PRON, fixed)' '(SCONJ, <-, ADV, parataxis)']"
75,75,"[np.float64(0.012794175923502182), np.float64(0.009673860188720629), np.float64(0.007523073612216158), np.float64(0.00619169706725009), np.float64(0.005722582662620157)]","[1357, 863, 1325, 1122, 257]","[0, 0, 0, 0, 0]","[np.float64(0.0020393265011262856), np.float64(-1.9626130488637295e-11), np.float64(0.0), np.float64(0.003834174312761987), np.float64(0.0314747593574721)]",Mikhalkov,"['(VERB, <-, NOUN, obl)' '(PART, ->, VERB, root)'
 '(PRON, ->, PRON, orphan)' '(PRON, ->, NOUN, parataxis)'
 '(PRON, <-, ADV, advmod)']"
76,76,"[np.float64(0.037233573787533), np.float64(0.02848833409773166), np.float64(0.023874413353033974), np.float64(0.023774582369128217), np.float64(0.023380280003728715)]","[990, 1357, 24, 1125, 113]","[1, 0, 0, 0, 0]","[np.float64(0.0013521073869230667), np.float64(0.0), np.float64(-1.714306829367734e-11), np.float64(0.016425888235505556), np.float64(0.015742477886538774)]",Moshkov,"['(DET, <-, CCONJ, advmod)' '(VERB, <-, NOUN, obl)'
 '(ADV, ->, PART, discourse)' '(X, ->, ADV, advmod)'
 '(ADV, ->, NOUN, advmod)']"
77,77,"[np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.02035327607952997), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[795, 1096, 92, 615, 1357]","[7, 0, 1, 0, 0]","[np.float64(0.0007516872639564592), np.float64(0.016588838193831123), np.float64(0.0), np.float64(0.0), np.float64(0.002169417715592302)]",NakedScience,"['(ADV, <-, PRON, cop)' '(VERB, ->, NOUN, nsubj)'
 '(ADJ, <-, NOUN, nsubj:pass)' '(NOUN, ->, PROPN, nmod)'
 '(VERB, <-, NOUN, obl)']"
78,78,"[np.float64(0.022300966674966727), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.021327121377248237)]","[561, 986, 726, 802, 346]","[0, 0, 1, 0, 0]","[np.float64(0.0), np.float64(0.005209031522500725), np.float64(0.001396922879670317), np.float64(0.0), np.float64(0.0004010795913578015)]",nlobooks[ru],"['(ADV, <-, PRON, parataxis)' '(VERB, ->, NOUN, xcomp)'
 '(SYM, ->, VERB, conj)' '(ADJ, ->, VERB, advcl)'
 '(PRON, ->, PART, orphan)']"
79,79,"[np.float64(0.057179063962579435), np.float64(0.04838357776073254), np.float64(0.04241942022837819), np.float64(0.025983452219263348), np.float64(0.02498095299945413)]","[1095, 862, 1356, 346, 762]","[0, 1, 0, 58, 0]","[np.float64(0.0), np.float64(0.001016735280223207), np.float64(0.0), np.float64(0.0), np.float64(0.010625260148022795)]",Nosov,"['(PRON, ->, ADP, fixed)' '(ADJ, <-, PART, obj)'
 '(PROPN, ->, NUM, nummod)' '(PRON, ->, PART, orphan)'
 '(NOUN, <-, INTJ, cc)']"
80,80,"[np.float64(0.05020128511963451), np.float64(0.045396171760345494), np.float64(0.04093833438210881), np.float64(0.040282631959556725), np.float64(0.038885893678057615)]","[908, 1325, 714, 87, 927]","[0, 0, 0, 84, 0]","[np.float64(0.009038576533122594), np.float64(0.000286800216794966), np.float64(0.005803866004620309), np.float64(0.0011502112579918615), np.float64(0.010998189924534905)]",Oseeva,"['(DET, ->, NOUN, conj)' '(PRON, ->, PRON, orphan)'
 '(SCONJ, <-, VERB, advcl)' '(PART, ->, PRON, fixed)'
 '(NOUN, <-, ADP, parataxis)']"
81,81,"[np.float64(0.02178647643917897), np.float64(0.010759111394641141), np.float64(0.010047409021720188), np.float64(0.00877943975367479), np.float64(0.006878512539820081)]","[29, 493, 588, 1418, 202]","[3, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Oster,"['(NOUN, ->, PRON, iobj)' '(NOUN, ->, NOUN, obl)' '(NOUN, <-, PRON, amod)'
 '(DET, <-, ADV, advmod)' '(VERB, ->, ADV, xcomp)']"
