,author_id,info_gain,features,feature_stats,tfidf,author,feature_names
82,82,"[np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248015)]","[1356, 740, 623, 1166, 1100]","[58, 0, 0, 74, 0]","[np.float64(0.0), np.float64(0.004981121866299861), np.float64(0.05733790043476334), np.float64(0.000584078600200562), np.float64(0.006121166568426964)]",Plevako,"['(PROPN, ->, NUM, nummod)' '(VERB, <-, SCONJ, cc)'
 '(ADJ, <-, NOUN, nmod)' '(AUX, ->, VERB, csubj)'
 '(VERB, ->, ADP, advmod)']"
83,83,"[np.float64(0.029463647700237572), np.float64(0.028659034213049717), np.float64(0.02761210504079803), np.float64(0.02507677209691661), np.float64(0.023094723668011574)]","[1123, 1350, 1092, 1158, 466]","[2, 0, 0, 0, 0]","[np.float64(0.0033293915993105297), np.float64(0.022503089874864914), np.float64(0.002541996289413468), np.float64(0.0009415259085730259), np.float64(0.0)]",Preobrazhensky,"['(NOUN, ->, ADJ, advmod)' '(NUM, <-, ADV, advmod)'
 '(PROPN, ->, VERB, acl)' '(AUX, <-, ADV, mark)' '(VERB, <-, SCONJ, obl)']"
84,84,"[np.float64(0.033412713175485), np.float64(0.03282650051766678), np.float64(0.016021199624027815), np.float64(0.01577929072940143), np.float64(0.01570463605209438)]","[1156, 339, 1350, 446, 815]","[0, 0, 0, 0, 0]","[np.float64(0.02642638329465593), np.float64(0.003757252638845579), np.float64(0.0009203062133370455), np.float64(0.01636338558741843), np.float64(0.0018600070111749456)]",Prokofeva,"['(ADV, <-, ADV, parataxis)' '(ADJ, ->, NUM, nummod:gov)'
 '(NUM, <-, ADV, advmod)' '(SCONJ, <-, VERB, root)'
 '(VERB, <-, VERB, nsubj)']"
85,85,"[np.float64(0.01622597890897992), np.float64(0.014050859073711619), np.float64(0.009750527119038344), np.float64(0.00816585902929845), np.float64(0.008026360921182474)]","[151, 559, 1147, 666, 572]","[0, 0, 0, 0, 0]","[np.float64(0.006224892627033262), np.float64(0.023892986282318934), np.float64(0.040157171879136255), np.float64(0.003814400342750803), np.float64(0.0)]",Pushkin,"['(ADJ, ->, ADJ, obl)' '(VERB, ->, NOUN, nmod)' '(ADV, <-, PART, cc)'
 '(INTJ, ->, INTJ, case)' '(PRON, ->, VERB, parataxis)']"
86,86,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.019935913809078998)]","[752, 815, 802, 1117, 1096]","[88, 121, 0, 0, 123]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.030183067934490136), np.float64(0.0)]",pvlida,"['(DET, ->, PUNCT, punct)' '(VERB, <-, VERB, nsubj)'
 '(ADJ, ->, VERB, advcl)' '(ADJ, <-, PART, advmod)'
 '(VERB, ->, NOUN, nsubj)']"
87,87,"[np.float64(0.027112355772236363), np.float64(0.022867767001584105), np.float64(0.022619880853948948), np.float64(0.022520619020015564), np.float64(0.019275262579377506)]","[1350, 758, 876, 650, 1024]","[0, 1, 0, 0, 0]","[np.float64(0.011630718480196317), np.float64(0.02448859785184989), np.float64(0.0013113518811394484), np.float64(0.0020673741650152804), np.float64(0.029308173132556074)]",Regentov,"['(NUM, <-, ADV, advmod)' '(ADJ, ->, PRON, obl)' '(PRON, ->, INTJ, conj)'
 '(NOUN, <-, PROPN, root)' '(VERB, <-, PART, root)']"
88,88,"[np.float64(0.04143382149843322), np.float64(0.03332659723354936), np.float64(0.02833754674064759), np.float64(0.028218455014976884), np.float64(0.027637112655423346)]","[1145, 665, 1422, 356, 922]","[0, 0, 1, 0, 0]","[np.float64(0.0010135473749431846), np.float64(0.0010179072037902932), np.float64(0.003107685050329415), np.float64(0.0), np.float64(0.011341430243180396)]",Rubina,"['(NOUN, <-, SCONJ, nmod)' '(AUX, ->, ADJ, obl)' '(PART, <-, DET, nsubj)'
 '(INTJ, ->, NOUN, nmod)' '(PRON, ->, DET, acl)']"
89,89,"[np.float64(0.05932900116037798), np.float64(0.04278843432652302), np.float64(0.04242871795993142), np.float64(0.040389399811952), np.float64(0.03802019149933433)]","[752, 1201, 386, 818, 305]","[121, 0, 0, 0, 0]","[np.float64(0.0029634879071777738), np.float64(0.0), np.float64(0.0015052235166909905), np.float64(0.00812085547623367), np.float64(0.0013317861151527016)]",Rybakov,"['(DET, ->, PUNCT, punct)' '(PRON, <-, PART, cc)'
 '(PUNCT, ->, VERB, amod)' '(VERB, ->, DET, conj)'
 '(PRON, ->, NOUN, acl:relcl)']"
90,90,"[np.float64(0.023839563441652722), np.float64(0.02012792909888761), np.float64(0.018675705815078936), np.float64(0.018380587005353832), np.float64(0.018164731678116608)]","[448, 1188, 818, 1140, 1149]","[0, 0, 0, 1, 0]","[np.float64(0.0), np.float64(0.008748947396856659), np.float64(0.008933244604524685), np.float64(0.025743570291637607), np.float64(0.0)]",Salnikov,"['(PROPN, ->, INTJ, flat)' '(INTJ, ->, VERB, parataxis)'
 '(VERB, ->, DET, conj)' '(NOUN, ->, ADV, conj)' '(ADJ, ->, AUX, xcomp)']"
91,91,"[np.float64(0.0744848101675355), np.float64(0.06409574280148866), np.float64(0.06320717447074109), np.float64(0.062265351417497006), np.float64(0.0614080558008645)]","[1009, 762, 153, 166, 362]","[0, 0, 0, 2, 0]","[np.float64(0.0025673718526051043), np.float64(0.08540717091640891), np.float64(0.004089378125535629), np.float64(0.005277711833822857), np.float64(0.052597462011151896)]",SaltykovSchedrin,"['(ADV, <-, X, root)' '(NOUN, <-, INTJ, cc)' '(PAD, ->, X, appos)'
 '(VERB, ->, VERB, parataxis)' '(PROPN, ->, ADV, nsubj)']"
92,92,"[np.float64(0.022300966674966727), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[1007, 331, 1282, 179, 683]","[0, 0, 0, 0, 0]","[np.float64(0.007674083641920886), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.01918520910480222)]",Semihatov,"['(VERB, ->, NOUN, orphan)' '(NOUN, ->, VERB, acl)'
 '(ADV, ->, ADJ, advcl)' '(VERB, <-, SCONJ, obj)' '(PRON, ->, NOUN, conj)']"
93,93,"[np.float64(0.07705920737792948), np.float64(0.06752322940052513), np.float64(0.0673109886577149), np.float64(0.06517452743284191), np.float64(0.06430736660362213)]","[1261, 987, 92, 690, 1189]","[0, 61, 0, 1, 0]","[np.float64(0.04950042004643691), np.float64(8.684783215901057e-05), np.float64(0.0), np.float64(0.0030687907441054024), np.float64(0.00045615688981532677)]",Serafimovich,"['(ADJ, <-, PRON, mark)' '(ADV, ->, PART, conj)'
 '(ADJ, <-, NOUN, nsubj:pass)' '(SCONJ, <-, ADP, case)'
 '(VERB, ->, ADP, nmod)']"
94,94,"[np.float64(0.03391859917049944), np.float64(0.03364074690304186), np.float64(0.0329633805275944), np.float64(0.032454538415916945), np.float64(0.032347636802194324)]","[877, 628, 1428, 574, 12]","[0, 0, 0, 1, 2]","[np.float64(0.009954831356107478), np.float64(0.012896016760113108), np.float64(0.0051330566121771115), np.float64(0.002916183829657986), np.float64(0.006097068853306625)]",Sergeev-Tsenskij,"['(PROPN, <-, ADJ, nsubj)' '(ADJ, ->, ADJ, iobj)'
 '(PART, ->, PROPN, parataxis)' '(PROPN, <-, DET, nummod:gov)'
 '(ADP, ->, ADJ, root)']"
95,95,"[np.float64(0.021317642309088947), np.float64(0.02127307942920631), np.float64(0.020267171962616626), np.float64(0.014533777511559265), np.float64(0.011691426368782842)]","[1144, 869, 1093, 9, 1261]","[0, 1, 0, 0, 0]","[np.float64(0.021078706499459154), np.float64(0.03053788330741328), np.float64(0.01308576777076329), np.float64(0.005733469470613331), np.float64(0.0)]",Shevtsov,"['(PROPN, <-, NOUN, nmod)' '(ADJ, <-, ADP, advmod)'
 '(NUM, <-, SCONJ, advmod)' '(ADJ, <-, ADP, obl)' '(ADJ, <-, PRON, mark)']"
96,96,"[np.float64(0.02756727001271464), np.float64(0.02518451945716982), np.float64(0.024560078130522522), np.float64(0.02237118403528171), np.float64(0.021767017368615194)]","[1190, 589, 651, 1346, 1203]","[0, 0, 0, 0, 81]","[np.float64(0.0016818158009398385), np.float64(0.009141049787284377), np.float64(0.006857615577278366), np.float64(0.0), np.float64(0.0)]",Shukshin,"['(PRON, ->, ADJ, conj)' '(NUM, ->, NOUN, advcl)' '(VERB, <-, ADP, case)'
 '(PART, ->, PRON, obj)' '(ADJ, <-, PRON, det)']"
97,97,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.02035327607952997), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[1147, 1204, 1209, 572, 588]","[0, 0, 0, 0, 0]","[np.float64(0.03988723508505274), np.float64(0.013295745028350915), np.float64(0.0), np.float64(0.001966812481681841), np.float64(0.02659149005670183)]",ShushpanovLouk,"['(ADV, <-, PART, cc)' '(PRON, <-, ADV, case)' '(NOUN, ->, ADV, amod)'
 '(PRON, ->, VERB, parataxis)' '(NOUN, <-, PRON, amod)']"
98,98,"[np.float64(0.01295494711487466), np.float64(0.009998475473946833), np.float64(0.00815975588462281), np.float64(0.007573441628003108), np.float64(0.007027518433037727)]","[589, 623, 683, 689, 97]","[0, 0, 0, 0, 0]","[np.float64(0.006796747417227615), np.float64(0.0), np.float64(0.0), np.float64(0.038775825855026085), np.float64(0.0)]",Shushpanov,"['(NUM, ->, NOUN, advcl)' '(ADJ, <-, NOUN, nmod)' '(PRON, ->, NOUN, conj)'
 '(NOUN, <-, PRON, iobj)' '(VERB, ->, NUM, nummod)']"
99,99,"[np.float64(0.04898185785504472), np.float64(0.04559770537222074), np.float64(0.04126143765275636), np.float64(0.040963466598104126), np.float64(0.0394538163994409)]","[1035, 514, 962, 264, 1362]","[0, 0, 0, 0, 2]","[np.float64(0.0011436497602810313), np.float64(0.0), np.float64(0.009799446676610054), np.float64(0.021596460486708303), np.float64(0.006946197958119677)]",Simonov,"['(ADV, <-, ADV, ccomp)' '(PROPN, ->, PART, parataxis)'
 '(ADV, ->, VERB, mark)' '(PART, ->, NOUN, obl)'
 '(X, <-, X, flat:foreign)']"
100,100,"[np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.01937943078181148), np.float64(0.019379430781811258), np.float64(0.019379430781811258)]","[589, 1431, 736, 179, 322]","[0, 0, 0, 0, 0]","[np.float64(0.00515643282547696), np.float64(0.0), np.float64(0.008414917178961262), np.float64(0.014003284234230438), np.float64(0.002540166842145691)]",Soloviev,"['(NUM, ->, NOUN, advcl)' '(VERB, ->, NUM, iobj)' '(ADJ, <-, VERB, advcl)'
 '(VERB, <-, SCONJ, obj)' '(PRON, <-, ADV, mark)']"
101,101,"[np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237)]","[740, 1100, 310, 786, 1120]","[1, 34, 2, 0, 0]","[np.float64(0.04341400182358171), np.float64(0.0), np.float64(0.0037969307764736406), np.float64(0.011595823895885076), np.float64(0.0)]",Solovyov,"['(VERB, <-, SCONJ, cc)' '(VERB, ->, ADP, advmod)' '(VERB, <-, PUNCT, cc)'
 '(PAD, ->, PROPN, appos)' '(ADJ, <-, INTJ, nsubj:pass)']"
102,102,"[np.float64(0.026261566240847856), np.float64(0.024515300128966633), np.float64(0.02233507599274298), np.float64(0.01861014701889252), np.float64(0.01794200964141035)]","[740, 1112, 493, 663, 406]","[0, 0, 1, 0, 0]","[np.float64(0.0024154609621813436), np.float64(0.0009818505427296096), np.float64(0.0), np.float64(0.002945551628188829), np.float64(0.024701129752918254)]",Stepnova,"['(VERB, <-, SCONJ, cc)' '(PRON, <-, ADJ, root)' '(NOUN, ->, NOUN, obl)'
 '(ADJ, ->, PART, obl)' '(DET, <-, DET, advmod)']"
103,103,"[np.float64(0.08107656791958417), np.float64(0.04870603689980779), np.float64(0.048244825106104505), np.float64(0.047003777496784194), np.float64(0.0439395983051627)]","[235, 849, 721, 752, 469]","[8, 0, 0, 0, 0]","[np.float64(0.011556197613598657), np.float64(0.0017299298026877197), np.float64(0.0029309378971280543), np.float64(0.0019666031496824886), np.float64(0.052758091949316)]",Strugatskie,"['(NOUN, <-, ADV, discourse)' '(VERB, <-, ADV, obl)'
 '(PUNCT, <-, VERB, csubj)' '(DET, ->, PUNCT, punct)'
 '(DET, ->, PART, discourse)']"
104,104,"[np.float64(0.055264394201001155), np.float64(0.050714773170271954), np.float64(0.04015843956565479), np.float64(0.034899143488974715), np.float64(0.03453567403370217)]","[1140, 938, 1373, 1299, 824]","[0, 0, 0, 0, 122]","[np.float64(0.012781322454031557), np.float64(0.004839713835263059), np.float64(0.015695481440575955), np.float64(0.0009890322480756014), np.float64(0.00020549241505572212)]",Tamonikov,"['(NOUN, ->, ADV, conj)' '(PART, <-, ADV, punct)' '(VERB, ->, VERB, cop)'
 '(PRON, <-, VERB, obl)' '(VERB, <-, ADV, parataxis)']"
105,105,"[np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237)]","[20, 25, 37, 113, 166]","[0, 0, 0, 0, 0]","[np.float64(0.001774525640189158), np.float64(0.03549051280378316), np.float64(0.1401875255749435), np.float64(0.0147705594532679), np.float64(0.012421679481324105)]",TEDRus,"['(NOUN, <-, ADV, compound)' '(PART, ->, ADJ, conj)'
 '(NOUN, <-, CCONJ, parataxis)' '(ADV, ->, NOUN, advmod)'
 '(VERB, ->, VERB, parataxis)']"
106,106,"[np.float64(0.047995429249490185), np.float64(0.043521432364528434), np.float64(0.04317927720646397), np.float64(0.0388466353904211), np.float64(0.03565494386039292)]","[908, 1117, 30, 505, 257]","[0, 0, 84, 0, 0]","[np.float64(0.005024037101685876), np.float64(0.008109474504969879), np.float64(0.0022967308180048152), np.float64(0.0), np.float64(0.03210631019880217)]",Teffi,"['(DET, ->, NOUN, conj)' '(ADJ, <-, PART, advmod)'
 '(NOUN, ->, SCONJ, conj)' '(PROPN, ->, NOUN, fixed)'
 '(PRON, <-, ADV, advmod)']"
107,107,"[np.float64(0.11905518176979268), np.float64(0.10407514010834196), np.float64(0.10203342610432009), np.float64(0.0979841155494221), np.float64(0.09156185561422192)]","[686, 678, 661, 432, 411]","[0, 103, 0, 0, 0]","[np.float64(0.0009588543367334921), np.float64(0.005326619284872965), np.float64(0.06476526049949209), np.float64(0.0009286494050127048), np.float64(0.005447592972173499)]",Tolstoy,"['(NOUN, <-, PRON, mark)' '(NOUN, ->, PUNCT, advmod)'
 '(AUX, ->, ADJ, parataxis)' '(ADJ, ->, SCONJ, cc)'
 '(PROPN, ->, NUM, obl)']"
108,108,"[np.float64(0.04919529652332588), np.float64(0.04811715702799946), np.float64(0.03680857510997537), np.float64(0.034568121142952934), np.float64(0.0336903412897529)]","[1053, 1194, 1387, 1315, 1304]","[0, 18, 2, 0, 0]","[np.float64(0.0034549901470438916), np.float64(0.0016595912830772255), np.float64(0.0007215238949936527), np.float64(0.0027806294674747687), np.float64(0.004185958596905911)]",Turgenev,"['(ADV, ->, NUM, nummod)' '(VERB, <-, X, root)' '(PAD, ->, NUM, conj)'
 '(VERB, ->, NOUN, conj)' '(PART, ->, ADJ, advmod)']"
109,109,"[np.float64(0.06492699484578701), np.float64(0.06026737468967325), np.float64(0.05202466564702557), np.float64(0.051551766742042426), np.float64(0.04423815690148025)]","[322, 305, 837, 667, 1203]","[0, 0, 0, 0, 15]","[np.float64(0.004189630552054059), np.float64(0.0), np.float64(0.005324528104510028), np.float64(0.000760327780733856), np.float64(0.007362347060376203)]",Uspensky,"['(PRON, <-, ADV, mark)' '(PRON, ->, NOUN, acl:relcl)'
 '(NOUN, <-, DET, orphan)' '(VERB, ->, ADJ, parataxis)'
 '(ADJ, <-, PRON, det)']"
110,110,"[np.float64(0.07746235259924417), np.float64(0.07613031451492835), np.float64(0.06273221791357719), np.float64(0.06003987057767368), np.float64(0.053845628879452434)]","[8, 572, 1040, 240, 1059]","[0, 112, 4, 0, 0]","[np.float64(0.0593378067531165), np.float64(0.005263618890743517), np.float64(0.0018279996833856266), np.float64(0.0023627809297719297), np.float64(0.0011892178589232008)]",Vainery,"['(NOUN, ->, DET, nsubj)' '(PRON, ->, VERB, parataxis)'
 '(PROPN, ->, PROPN, discourse)' '(PROPN, <-, PRON, nmod)'
 '(VERB, <-, X, appos)']"
111,111,"[np.float64(0.029686317631762105), np.float64(0.02923269717814181), np.float64(0.027704156274600766), np.float64(0.027671767367211997), np.float64(0.0273954252932187)]","[1007, 1367, 411, 853, 173]","[0, 0, 0, 0, 0]","[np.float64(0.0008129998883245817), np.float64(0.0016259997766491633), np.float64(0.008748167093902668), np.float64(0.009907194522447017), np.float64(0.011929761311187902)]",vestnik nsu,"['(VERB, ->, NOUN, orphan)' '(NOUN, ->, ADP, appos)'
 '(PROPN, ->, NUM, obl)' '(VERB, <-, NOUN, mark)'
 '(ADP, <-, PUNCT, fixed)']"
112,112,"[np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.019379430781811258), np.float64(0.019379430781811258)]","[757, 802, 56, 388, 874]","[0, 0, 0, 0, 0]","[np.float64(9.212922856044318e-05), np.float64(0.001398374140245458), np.float64(0.0), np.float64(0.0002598438966549681), np.float64(0.0)]",VestnikRayona,"['(SYM, <-, ADP, case)' '(ADJ, ->, VERB, advcl)' '(NUM, <-, PART, advmod)'
 '(PRON, <-, DET, det)' '(NOUN, ->, NOUN, punct)']"
113,113,"[np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.022300966674966505)]","[1015, 64, 954, 1321, 1390]","[0, 0, 0, 0, 1]","[np.float64(0.00166721393899264), np.float64(0.0), np.float64(0.00333442787798528), np.float64(0.003552722811000164), np.float64(0.0)]",Vladimirova,"['(ADP, <-, NOUN, root)' '(PART, <-, VERB, root)' '(AUX, <-, NOUN, obl)'
 '(VERB, ->, PART, obl)' '(PART, ->, PART, flat:name)']"
114,114,"[np.float64(0.024495860244919343), np.float64(0.023915609864503806), np.float64(0.01792883156134939), np.float64(0.01567142050839454), np.float64(0.015643991260577472)]","[1168, 1063, 235, 1078, 519]","[0, 0, 0, 1, 1]","[np.float64(0.035446748542345516), np.float64(0.0012648946031278698), np.float64(0.0), np.float64(0.0013458405235549293), np.float64(0.005744123769347705)]",Vlasova,"['(NOUN, <-, DET, obj)' '(PRON, <-, NOUN, parataxis)'
 '(NOUN, <-, ADV, discourse)' '(PROPN, ->, PROPN, conj)'
 '(PRON, <-, AUX, cop)']"
115,115,"[np.float64(0.07482835800716592), np.float64(0.06141963310097487), np.float64(0.044023509956910845), np.float64(0.043470864283174704), np.float64(0.03859221881656083)]","[961, 1282, 987, 867, 1235]","[2, 0, 85, 0, 0]","[np.float64(0.0011266066592687612), np.float64(0.00556781719789142), np.float64(0.0), np.float64(0.03358083635236368), np.float64(0.020520345550341452)]",Voinovich,"['(NOUN, ->, ADJ, det)' '(ADV, ->, ADJ, advcl)' '(ADV, ->, PART, conj)'
 '(VERB, <-, NOUN, obj)' '(X, <-, PRON, iobj)']"
116,116,"[np.float64(0.027165338902624403), np.float64(0.02320655439287389), np.float64(0.021629755850553933), np.float64(0.021159616355682642), np.float64(0.020656261696242684)]","[1188, 714, 527, 37, 1141]","[0, 0, 0, 0, 5]","[np.float64(-1.7790532615326876e-11), np.float64(0.007366963483829439), np.float64(0.0), np.float64(0.0), np.float64(0.015561470023289536)]",Volkov,"['(INTJ, ->, VERB, parataxis)' '(SCONJ, <-, VERB, advcl)'
 '(NOUN, <-, NOUN, conj)' '(NOUN, <-, CCONJ, parataxis)'
 '(PAD, ->, PROPN, nsubj)']"
117,117,"[np.float64(0.023274811972684994), np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747)]","[713, 1011, 619, 334, 1350]","[16, 0, 2, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Vorotyntseva,"['(NOUN, ->, X, parataxis)' '(DET, <-, VERB, parataxis)'
 '(PRON, <-, ADV, discourse)' '(PAD, ->, NOUN, nmod)'
 '(NUM, <-, ADV, advmod)']"
118,118,"[np.float64(0.021327121377248237), np.float64(0.020353276079529747), np.float64(0.020353276079529747), np.float64(0.020353276079529525), np.float64(0.01701437791592375)]","[824, 92, 715, 97, 1280]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-4.459640030714719e-12)]",YasenevoMedia,"['(VERB, <-, ADV, parataxis)' '(ADJ, <-, NOUN, nsubj:pass)'
 '(PROPN, ->, ADJ, conj)' '(VERB, ->, NUM, nummod)' '(ADV, ->, ADV, obl)']"
119,119,"[np.float64(0.09351294932119902), np.float64(0.06922153561524458), np.float64(0.06504500566509308), np.float64(0.06461343473805714), np.float64(0.061962763141648836)]","[1047, 357, 236, 92, 509]","[1, 0, 0, 0, 0]","[np.float64(0.003633753894684329), np.float64(0.0006748165967130653), np.float64(0.0010589979796566246), np.float64(0.003381676643253622), np.float64(0.00032455900976469945)]",Zemlyanoj,"['(VERB, <-, INTJ, expl)' '(ADJ, ->, VERB, csubj:pass)'
 '(VERB, ->, INTJ, cc)' '(ADJ, <-, NOUN, nsubj:pass)'
 '(INTJ, ->, ADJ, parataxis)']"
120,120,"[np.float64(0.02556632560912908), np.float64(0.023595957934910206), np.float64(0.019512322191808096), np.float64(0.017665102929917964), np.float64(0.01649194230335982)]","[400, 151, 579, 827, 1078]","[0, 1, 0, 23, 0]","[np.float64(0.0017026510928312704), np.float64(0.002689426939080097), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Zhitkov,"['(ADV, ->, PRON, nsubj)' '(ADJ, ->, ADJ, obl)'
 '(DET, <-, NUM, nummod:gov)' '(VERB, ->, PRON, orphan)'
 '(PROPN, ->, PROPN, conj)']"
121,121,"[np.float64(0.037221368209262695), np.float64(0.03495197212720902), np.float64(0.03291035719008728), np.float64(0.02867247437834619), np.float64(0.02728798538586208)]","[1340, 969, 827, 727, 1280]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0004294666397257697), np.float64(0.004756258697461032), np.float64(0.00122859472288584), np.float64(0.0026562339417019387)]",ZlotnikovNikolaev,"['(VERB, ->, DET, iobj)' '(ADJ, <-, ADJ, nummod:gov)'
 '(VERB, ->, PRON, orphan)' '(NOUN, ->, DET, nummod:gov)'
 '(ADV, ->, ADV, obl)']"
122,122,"[np.float64(0.034911837570814175), np.float64(0.03069249079958014), np.float64(0.02932614985819415), np.float64(0.02895476513673234), np.float64(0.023216450584014336)]","[918, 1020, 1095, 1350, 790]","[0, 0, 0, 25, 0]","[np.float64(0.00024376093882303235), np.float64(0.06823643131746199), np.float64(0.01272999027855443), np.float64(0.001752445312712455), np.float64(0.00888962308158708)]",Zlotnikov,"['(CCONJ, ->, SCONJ, fixed)' '(ADV, <-, DET, nsubj)'
 '(PRON, ->, ADP, fixed)' '(NUM, <-, ADV, advmod)'
 '(ADV, <-, CCONJ, advmod)']"
123,123,"[np.float64(0.06680512495634405), np.float64(0.06270494047717412), np.float64(0.06095341324238279), np.float64(0.053274056154444804), np.float64(0.04462339952953265)]","[1158, 781, 540, 450, 715]","[0, 0, 0, 0, 9]","[np.float64(0.0005087439472054346), np.float64(0.004598368556720166), np.float64(0.002775160019130254), np.float64(0.0), np.float64(0.004789984522055953)]",Zoschenko,"['(AUX, <-, ADV, mark)' '(INTJ, ->, INTJ, root)' '(PART, ->, NOUN, conj)'
 '(DET, <-, ADV, obl)' '(PROPN, ->, ADJ, conj)']"
