,author_id,z_score,features,feature_stats,tfidf,author,feature_names
41,41,"[np.float64(5.115075728376246), np.float64(4.020431248471759), np.float64(3.242364112320441), np.float64(2.478356190172438), np.float64(2.4532441157400724)]","[776, 305, 1356, 1248, 486]","[1, 0, 0, 0, 1]","[np.float64(0.007959331979236305), np.float64(0.003816504047815379), np.float64(-3.5629927688488575e-12), np.float64(0.009290204518628062), np.float64(0.0)]",Furmanov,"['(ADP, ->, VERB, fixed)' '(PRON, ->, NOUN, acl:relcl)'
 '(PROPN, ->, NUM, nummod)' '(ADJ, ->, NOUN, obj)'
 '(VERB, ->, ADJ, fixed)']"
42,42,"[np.float64(8.158170240398242), np.float64(7.9441622176620506), np.float64(7.474136444401945), np.float64(7.070333404110634), np.float64(5.389102540872243)]","[740, 703, 623, 309, 1159]","[0, 0, 74, 0, 0]","[np.float64(0.0011159261754569694), np.float64(0.0046951627346843855), np.float64(0.004926620767540893), np.float64(0.005493335783114348), np.float64(0.006274004975854369)]",Gachev,"['(VERB, <-, SCONJ, cc)' '(VERB, <-, VERB, cop)' '(ADJ, <-, NOUN, nmod)'
 '(NOUN, <-, PAD, conj)' '(PROPN, ->, X, orphan)']"
43,43,"[np.float64(6.101625228289663), np.float64(3.6075927623566972), np.float64(3.464442953224607), np.float64(1.72909994410373), np.float64(1.5296622673949536)]","[1091, 646, 603, 651, 326]","[0, 0, 0, 0, 0]","[np.float64(0.007004921710850831), np.float64(0.06116840536374751), np.float64(0.0012923835655196598), np.float64(0.0), np.float64(0.0)]",Gasymov,"['(NOUN, ->, PART, aux)' '(ADJ, ->, PRON, iobj)' '(ADJ, <-, NUM, advmod)'
 '(VERB, <-, ADP, case)' '(PRON, <-, NOUN, advcl)']"
44,44,"[np.float64(1.924693790798794), np.float64(1.782951558718166), np.float64(1.7383551338775762), np.float64(1.3663707606833146), np.float64(1.2803245533691963)]","[378, 176, 727, 713, 615]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0037473581080704325), np.float64(0.0), np.float64(-4.8805633933179396e-12)]",Gaydar,"['(VERB, <-, AUX, advcl)' '(PROPN, <-, NOUN, root)'
 '(NOUN, ->, DET, nummod:gov)' '(NOUN, ->, X, parataxis)'
 '(NOUN, ->, PROPN, nmod)']"
45,45,"[np.float64(2.9356493363373266), np.float64(1.1179777981241799), np.float64(0.3177276679635615), np.float64(0.13778822045821332), np.float64(-0.04099583035376002)]","[166, 651, 1350, 667, 161]","[0, 0, 0, 0, 0]","[np.float64(0.01661255347359357), np.float64(0.0), np.float64(0.00106367194787183), np.float64(0.001195714842936833), np.float64(0.002324369921917792)]",GazetaRu,"['(VERB, ->, VERB, parataxis)' '(VERB, <-, ADP, case)'
 '(NUM, <-, ADV, advmod)' '(VERB, ->, ADJ, parataxis)'
 '(VERB, ->, PROPN, flat:foreign)']"
46,46,"[np.float64(2.776311427891526), np.float64(1.8726240187650056), np.float64(1.669636995044677), np.float64(1.599508189390015), np.float64(1.5805969216838165)]","[186, 1324, 521, 486, 661]","[0, 0, 0, 0, 2]","[np.float64(0.0030386392212702514), np.float64(0.0008900405064857453), np.float64(0.001095402766354393), np.float64(0.005526393280236766), np.float64(0.011143225041334272)]",Gelb,"['(VERB, <-, PRON, nmod)' '(NOUN, ->, ADV, cc)' '(DET, ->, PRON, acl)'
 '(VERB, ->, ADJ, fixed)' '(AUX, ->, ADJ, parataxis)']"
47,47,"[np.float64(4.1621940831524995), np.float64(2.9782837867952834), np.float64(2.256363600799019), np.float64(1.839295558964952), np.float64(1.7932361025880768)]","[88, 1220, 493, 347, 146]","[0, 0, 0, 0, 0]","[np.float64(0.0010055423214084733), np.float64(0.002075271212568747), np.float64(0.004150542425137494), np.float64(0.00043260760637513614), np.float64(0.0)]",Gorelov,"['(PROPN, <-, VERB, parataxis)' '(PRON, <-, PUNCT, punct)'
 '(NOUN, ->, NOUN, obl)' '(NUM, ->, ADJ, obl)'
 '(NOUN, ->, DET, parataxis)']"
48,48,"[np.float64(4.685655574823583), np.float64(3.4998002316716255), np.float64(2.4773455150497234), np.float64(-0.04099583035376001), np.float64(-0.04099583035376002)]","[1117, 852, 1357, 867, 111]","[0, 0, 9, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",GorVestnik,"['(ADJ, <-, PART, advmod)' '(NOUN, <-, PART, cc)' '(VERB, <-, NOUN, obl)'
 '(VERB, <-, NOUN, obj)' '(ADJ, ->, NOUN, nmod)']"
49,49,"[np.float64(3.629618383012915), np.float64(2.6241899862354474), np.float64(1.1001555616507739), np.float64(1.0078018263565496), np.float64(0.77008410579923)]","[1092, 493, 710, 29, 987]","[0, 0, 0, 111, 0]","[np.float64(0.0), np.float64(0.015035755276529398), np.float64(0.0019728634017530423), np.float64(0.00041333070687406395), np.float64(0.02365956685694373)]",Granin,"['(PROPN, ->, VERB, acl)' '(NOUN, ->, NOUN, obl)' '(VERB, ->, SCONJ, obl)'
 '(NOUN, ->, PRON, iobj)' '(ADV, ->, PART, conj)']"
50,50,"[np.float64(2.7807970308251253), np.float64(1.8171813496560196), np.float64(1.520715149518847), np.float64(1.3591855322736552), np.float64(1.3500229404470996)]","[715, 146, 752, 827, 1052]","[0, 0, 0, 46, 0]","[np.float64(0.005453762170951999), np.float64(0.0005796333627348772), np.float64(0.0004434256822516149), np.float64(0.0037148919418697707), np.float64(0.0)]",Grekova,"['(PROPN, ->, ADJ, conj)' '(NOUN, ->, DET, parataxis)'
 '(DET, ->, PUNCT, punct)' '(VERB, ->, PRON, orphan)'
 '(ADV, <-, ADJ, iobj)']"
51,51,"[np.float64(2.7276515662201377), np.float64(2.067291436916047), np.float64(1.3856372442325766), np.float64(1.0946786727667739), np.float64(0.5880826774052323)]","[686, 1049, 262, 1337, 1147]","[103, 0, 1, 0, 0]","[np.float64(0.0025029798679463214), np.float64(0.0021789591449827305), np.float64(0.0), np.float64(0.003878740100874946), np.float64(0.0005111104122260972)]",Grin,"['(NOUN, <-, PRON, mark)' '(NOUN, ->, CCONJ, advmod)'
 '(AUX, ->, ADV, conj)' '(DET, ->, DET, advmod)' '(ADV, <-, PART, cc)']"
52,52,"[np.float64(6.787118416951359), np.float64(4.021046565399906), np.float64(3.481276502644866), np.float64(2.1246392729457124), np.float64(2.0398412532792105)]","[824, 234, 372, 1358, 981]","[0, 0, 0, 0, 0]","[np.float64(0.026392392931931637), np.float64(0.0), np.float64(0.00164933827585062), np.float64(0.0), np.float64(0.021420132769782708)]",Gusev,"['(VERB, <-, ADV, parataxis)' '(PROPN, <-, ADV, obl)'
 '(NUM, ->, ADV, fixed)' '(NOUN, <-, X, flat:foreign)'
 '(DET, ->, PROPN, orphan)']"
53,53,"[np.float64(7.370285123355107), np.float64(2.201901336963908), np.float64(1.235943851710696), np.float64(0.6693814819100975), np.float64(-0.04099583035376002)]","[1425, 463, 869, 973, 69]","[0, 0, 3, 0, 1]","[np.float64(0.0), np.float64(0.0), np.float64(0.003250938915870388), np.float64(0.0), np.float64(0.00010628599173117968)]",Gusiatnikova,"['(ADV, ->, VERB, acl:relcl)' '(PROPN, <-, VERB, amod)'
 '(ADJ, <-, ADP, advmod)' '(NOUN, <-, PUNCT, punct)'
 '(PUNCT, <-, ADP, root)']"
54,54,"[np.float64(2.058619101423657), np.float64(1.8293489320447844), np.float64(0.957179314257598), np.float64(0.8808458368826673), np.float64(0.5461342087957773)]","[24, 179, 779, 1144, 849]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.004954007772285146), np.float64(0.002299201897990994), np.float64(-9.643797132859977e-12), np.float64(0.0003483625491020213)]",Hoffman,"['(ADV, ->, PART, discourse)' '(VERB, <-, SCONJ, obj)'
 '(ADJ, ->, X, flat:foreign)' '(PROPN, <-, NOUN, nmod)'
 '(VERB, <-, ADV, obl)']"
55,55,"[np.float64(2.9388263323724364), np.float64(2.719390080132749), np.float64(2.719390080132748), np.float64(2.6780994249132224), np.float64(2.1637867418005943)]","[803, 781, 261, 1160, 264]","[2, 0, 0, 4, 0]","[np.float64(0.0027891551218035522), np.float64(0.0029781575232280524), np.float64(0.0005531404626749015), np.float64(0.011629882817513966), np.float64(0.013745784991359531)]",Kassil,"['(ADJ, ->, AUX, conj)' '(INTJ, ->, INTJ, root)'
 '(ADJ, ->, INTJ, parataxis)' '(NOUN, ->, ADP, root)'
 '(PART, ->, NOUN, obl)']"
56,56,"[np.float64(2.719390080132748), np.float64(2.719390080132748), np.float64(1.9219952558041595), np.float64(1.7024838104784445), np.float64(1.226718962829649)]","[29, 1093, 422, 1018, 1191]","[0, 2, 0, 71, 0]","[np.float64(0.01904794674959992), np.float64(0.0008627749505260023), np.float64(0.00904124040510658), np.float64(0.035649820236604304), np.float64(0.0)]",Kataev,"['(NOUN, ->, PRON, iobj)' '(NUM, <-, SCONJ, advmod)'
 '(AUX, <-, ADJ, advmod)' '(NUM, ->, VERB, conj)' '(ADJ, ->, PRON, mark)']"
57,57,"[np.float64(1.7267948115004434), np.float64(1.2698281620262009), np.float64(1.1553907932343783), np.float64(1.0330574164903048), np.float64(1.0291156938457449)]","[711, 981, 874, 946, 29]","[0, 2, 0, 109, 0]","[np.float64(0.0008390174963781475), np.float64(0.003487145799800556), np.float64(0.0009501981894870585), np.float64(0.003388301425287372), np.float64(0.0016299944309120075)]",Kaverin,"['(PROPN, ->, PROPN, nmod)' '(DET, ->, PROPN, orphan)'
 '(NOUN, ->, NOUN, punct)' '(VERB, <-, ADJ, orphan)'
 '(NOUN, ->, PRON, iobj)']"
58,58,"[np.float64(1.8578514904153434), np.float64(0.7810366105120661), np.float64(0.04377797900212701), np.float64(-0.04099583035376001), np.float64(-0.04099583035376002)]","[1169, 1166, 251, 615, 589]","[0, 0, 0, 1, 2]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0006598508574139436), np.float64(0.006720972609599886)]",Kirsanova Anodina Aksenov,"['(NOUN, <-, X, nummod)' '(AUX, ->, VERB, csubj)' '(ADJ, <-, ADJ, conj)'
 '(NOUN, ->, PROPN, nmod)' '(NUM, ->, NOUN, advcl)']"
59,59,"[np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(11.889263063265517), np.float64(4.803334544810378), np.float64(3.927683083200102)]","[466, 1137, 225, 1173, 315]","[0, 0, 0, 1, 0]","[np.float64(0.001301964390848103), np.float64(0.010800077235130755), np.float64(0.006241302869019147), np.float64(0.0032549109771202577), np.float64(0.007695950511280981)]",Knabe,"['(VERB, <-, SCONJ, obl)' '(VERB, ->, NOUN, appos)' '(AUX, <-, ADJ, root)'
 '(VERB, <-, X, advcl)' '(PROPN, ->, NOUN, det)']"
60,60,"[np.float64(4.547114057130696), np.float64(2.107986823473438), np.float64(1.0201952398570664), np.float64(1.0140475746955695), np.float64(0.9763075138778969)]","[277, 25, 533, 450, 1140]","[0, 2, 0, 0, 0]","[np.float64(0.01626903128699868), np.float64(0.0), np.float64(0.0004977979481829625), np.float64(0.0), np.float64(0.001448668893872517)]",Koni,"['(CCONJ, ->, PART, advmod)' '(PART, ->, ADJ, conj)'
 '(DET, ->, PRON, nsubj)' '(DET, <-, ADV, obl)' '(NOUN, ->, ADV, conj)']"
61,61,"[np.float64(4.894902144238945), np.float64(2.9561026598590985), np.float64(1.863660581989674), np.float64(1.8299126168030995), np.float64(1.5366365612670636)]","[63, 280, 28, 519, 202]","[0, 0, 1, 2, 1]","[np.float64(0.00044364421465235653), np.float64(0.0), np.float64(0.02130804147249218), np.float64(0.0006592417114820343), np.float64(0.007661919368508948)]",Kozlov,"['(PUNCT, <-, CCONJ, cc)' '(ADJ, <-, SCONJ, obl)'
 '(VERB, ->, PROPN, ccomp)' '(PRON, <-, AUX, cop)'
 '(VERB, ->, ADV, xcomp)']"
62,62,"[np.float64(1.607185036298753), np.float64(1.5146225905538753), np.float64(1.4880796584413716), np.float64(1.4664180650285514), np.float64(1.274072510466187)]","[806, 305, 1156, 990, 792]","[0, 0, 1, 2, 0]","[np.float64(4.655878803646039e-05), np.float64(0.0016652197713011615), np.float64(0.02757042870337265), np.float64(0.0009788489606077076), np.float64(0.0007239722815830693)]",Krapivin,"['(PROPN, ->, PROPN, acl)' '(PRON, ->, NOUN, acl:relcl)'
 '(ADV, <-, ADV, parataxis)' '(DET, <-, CCONJ, advmod)'
 '(SCONJ, <-, ADV, advmod)']"
63,63,"[np.float64(2.7193900801327486), np.float64(2.7193900801327486), np.float64(2.719390080132748), np.float64(1.8696298996145073), np.float64(1.640966476622407)]","[186, 1085, 1100, 540, 604]","[0, 0, 0, 2, 0]","[np.float64(0.006226001269225351), np.float64(3.3864625011051025e-05), np.float64(0.001161999229630582), np.float64(0.014675901959354358), np.float64(0.0031787544139646406)]",Kuprin,"['(VERB, <-, PRON, nmod)' '(VERB, ->, CCONJ, advmod)'
 '(VERB, ->, ADP, advmod)' '(PART, ->, NOUN, conj)'
 '(ADV, <-, PRON, discourse)']"
64,64,"[np.float64(4.584224621380012), np.float64(2.8649105624518736), np.float64(2.3401095506871346), np.float64(1.8293972814763497), np.float64(1.6566471183960545)]","[908, 762, 615, 973, 708]","[1, 0, 1, 0, 0]","[np.float64(0.010507111219111381), np.float64(0.0035023704063704606), np.float64(-1.4557721293000665e-11), np.float64(0.009125416047043878), np.float64(0.027557405633424212)]",Lermontov,"['(DET, ->, NOUN, conj)' '(NOUN, <-, INTJ, cc)' '(NOUN, ->, PROPN, nmod)'
 '(NOUN, <-, PUNCT, punct)' '(PUNCT, ->, PRON, orphan)']"
65,65,"[np.float64(4.165616756993829), np.float64(3.736680665122528), np.float64(3.136348790968354), np.float64(3.019404583767525), np.float64(2.983004324045738)]","[125, 142, 56, 678, 1383]","[0, 0, 0, 0, 0]","[np.float64(0.0011827161559182192), np.float64(0.025833666821526484), np.float64(0.0019271880021603843), np.float64(0.02322575608533094), np.float64(0.0013205392194158027)]",Losev,"['(ADV, ->, ADV, csubj)' '(DET, ->, PAD, fixed)' '(NUM, <-, PART, advmod)'
 '(NOUN, ->, PUNCT, advmod)' '(DET, ->, PROPN, obl)']"
66,66,"[np.float64(2.013583545428778), np.float64(1.4195630941131834), np.float64(0.8412412210697786), np.float64(0.6303055887706749), np.float64(0.3379759873094885)]","[1100, 1174, 736, 388, 824]","[0, 0, 1, 0, 0]","[np.float64(0.0002003677190677506), np.float64(0.014790996148109858), np.float64(-2.7237768333289068e-11), np.float64(0.03227221854563621), np.float64(0.0024824783496643246)]",Lubimova,"['(VERB, ->, ADP, advmod)' '(VERB, ->, PRON, iobj)'
 '(ADJ, <-, VERB, advcl)' '(PRON, <-, DET, det)'
 '(VERB, <-, ADV, parataxis)']"
67,67,"[np.float64(3.0593138401493416), np.float64(2.894866449951652), np.float64(2.3527295802388015), np.float64(1.6083115287898915), np.float64(1.3442310012202763)]","[1256, 1430, 703, 1283, 166]","[0, 0, 0, 86, 0]","[np.float64(0.0), np.float64(0.0008159806745167624), np.float64(0.013345507440986873), np.float64(0.0), np.float64(0.03277758580870598)]",Lukyanenko,"['(NOUN, ->, PRON, nsubj)' '(PUNCT, <-, ADP, case)'
 '(VERB, <-, VERB, cop)' '(NOUN, ->, ADJ, nummod)'
 '(VERB, ->, VERB, parataxis)']"
68,68,"[np.float64(12.048621964374377), np.float64(10.88152073325233), np.float64(3.557726875505021), np.float64(1.8715252060447756), np.float64(1.8435502159321002)]","[94, 852, 1280, 954, 168]","[0, 0, 100, 0, 0]","[np.float64(0.013179418030371176), np.float64(0.018827740043387393), np.float64(0.001215711332412366), np.float64(0.06024876813883967), np.float64(-2.0448747740209444e-12)]",Lungu,"['(AUX, <-, NOUN, orphan)' '(NOUN, <-, PART, cc)' '(ADV, ->, ADV, obl)'
 '(AUX, <-, NOUN, obl)' '(PRON, ->, NUM, nummod:gov)']"
69,69,"[np.float64(5.361440566015739), np.float64(5.219692728620005), np.float64(4.079085120199123), np.float64(4.079085120199123), np.float64(4.0018467616025815)]","[264, 1096, 1007, 1078, 133]","[0, 0, 0, 1, 124]","[np.float64(0.021049161120486402), np.float64(0.0010653033288117056), np.float64(0.0036428427940675035), np.float64(0.018185189994411675), np.float64(0.0009408433026070239)]",Makushinskiyi,"['(PART, ->, NOUN, obl)' '(VERB, ->, NOUN, nsubj)'
 '(VERB, ->, NOUN, orphan)' '(PROPN, ->, PROPN, conj)'
 '(PRON, ->, PART, cc)']"
70,70,"[np.float64(8.158170240398247), np.float64(8.158170240398245), np.float64(8.158170240398244), np.float64(8.158170240398244), np.float64(8.158170240398244)]","[1382, 526, 556, 1100, 1282]","[0, 0, 0, 0, 0]","[np.float64(0.0341889158274682), np.float64(0.08596577380650726), np.float64(0.006605670207009949), np.float64(0.004241039711062865), np.float64(0.005065432747687744)]",Malevish,"['(X, <-, X, amod)' '(ADJ, ->, PROPN, csubj)' '(NOUN, ->, ADJ, iobj)'
 '(VERB, ->, ADP, advmod)' '(ADV, ->, ADJ, advcl)']"
71,71,"[np.float64(2.447451072119474), np.float64(2.0865255855813243), np.float64(2.0809977792473986), np.float64(1.8379042586499135), np.float64(1.5928261785144195)]","[933, 246, 225, 198, 168]","[0, 0, 0, 0, 0]","[np.float64(0.00568629416348104), np.float64(0.001920333201261866), np.float64(0.003702739778372841), np.float64(0.01298470336545686), np.float64(0.013905987493885939)]",Mamin-Sibiryak,"['(CCONJ, <-, VERB, root)' '(NOUN, ->, PART, advcl)'
 '(AUX, <-, ADJ, root)' '(DET, ->, AUX, conj)'
 '(PRON, ->, NUM, nummod:gov)']"
72,72,"[np.float64(10.782603747142025), np.float64(6.083621067420635), np.float64(4.072325638549179), np.float64(3.798726963524244), np.float64(2.4309424816317535)]","[804, 234, 519, 1122, 954]","[0, 0, 0, 2, 0]","[np.float64(0.0), np.float64(0.01668011649011297), np.float64(0.015057993251261906), np.float64(0.004125891983427491), np.float64(-2.6798115641503495e-11)]",Mamina,"['(ADV, ->, PART, cc)' '(PROPN, <-, ADV, obl)' '(PRON, <-, AUX, cop)'
 '(PRON, ->, NOUN, parataxis)' '(AUX, <-, NOUN, obl)']"
73,73,"[np.float64(6.223226937909302), np.float64(0.7937405151014219), np.float64(0.7819406809783473), np.float64(0.7376018914207972), np.float64(0.12142386146297268)]","[837, 1122, 1024, 111, 306]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0006385547953671372), np.float64(0.0), np.float64(0.05614727736562615), np.float64(0.0)]",Marchik,"['(NOUN, <-, DET, orphan)' '(PRON, ->, NOUN, parataxis)'
 '(VERB, <-, PART, root)' '(ADJ, ->, NOUN, nmod)'
 '(PRON, ->, ADV, advmod)']"
74,74,"[np.float64(2.447451072119474), np.float64(2.246815563235856), np.float64(1.9519516852093468), np.float64(1.691885472316889), np.float64(1.542017898047542)]","[1339, 1056, 251, 1013, 22]","[0, 56, 2, 0, 0]","[np.float64(0.0), np.float64(0.000590493730389959), np.float64(0.01234476144752159), np.float64(0.024374630795479618), np.float64(0.03366732570694893)]",Marinina,"['(ADJ, <-, ADV, iobj)' '(NOUN, <-, SCONJ, advmod)' '(ADJ, <-, ADJ, conj)'
 '(PROPN, <-, SCONJ, obl)' '(ADV, <-, ADJ, csubj)']"
75,75,"[np.float64(11.324136970791255), np.float64(2.50016944353665), np.float64(0.5055883817901179), np.float64(-0.041064615304018004), np.float64(-0.041064615304018004)]","[1383, 881, 948, 1174, 1439]","[0, 24, 0, 0, 0]","[np.float64(0.01888485561448326), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Mikhalkov,"['(DET, ->, PROPN, obl)' '(DET, ->, ADJ, amod)' '(X, <-, PROPN, compound)'
 '(VERB, ->, PRON, iobj)' '(DET, ->, PROPN, flat:name)']"
76,76,"[np.float64(3.7411385074861125), np.float64(3.2518523605327387), np.float64(3.2089304772953415), np.float64(2.4536695514165343), np.float64(2.114555621864489)]","[1018, 37, 908, 990, 113]","[0, 0, 0, 0, 1]","[np.float64(0.029628945577815133), np.float64(0.004920526889318867), np.float64(0.000744691464568521), np.float64(0.0), np.float64(0.008174292314078395)]",Moshkov,"['(NUM, ->, VERB, conj)' '(NOUN, <-, CCONJ, parataxis)'
 '(DET, ->, NOUN, conj)' '(DET, <-, CCONJ, advmod)'
 '(ADV, ->, NOUN, advmod)']"
77,77,"[np.float64(3.337189516131025), np.float64(0.24789277731624576), np.float64(0.09234279078629536), np.float64(-0.04099583035376002), np.float64(-0.04099583035376002)]","[1096, 1357, 795, 589, 973]","[1, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.016588838193831123), np.float64(0.005291627514455685), np.float64(0.003894183475259025), np.float64(0.0)]",NakedScience,"['(VERB, ->, NOUN, nsubj)' '(VERB, <-, NOUN, obl)' '(ADV, <-, PRON, cop)'
 '(NUM, ->, NOUN, advcl)' '(NOUN, <-, PUNCT, punct)']"
78,78,"[np.float64(13.630676353721707), np.float64(11.830854204392345), np.float64(9.722196640541343), np.float64(8.222884951510398), np.float64(8.001076316271352)]","[986, 1385, 561, 849, 1166]","[2, 0, 0, 0, 0]","[np.float64(0.001736343840833575), np.float64(0.0), np.float64(0.005209031522500725), np.float64(6.736402136891044e-05), np.float64(0.0004010795913578015)]",nlobooks[ru],"['(VERB, ->, NOUN, xcomp)' '(AUX, <-, DET, det)'
 '(ADV, <-, PRON, parataxis)' '(VERB, <-, ADV, obl)'
 '(AUX, ->, VERB, csubj)']"
79,79,"[np.float64(3.413017968685272), np.float64(2.0911567679096654), np.float64(1.9489163245799517), np.float64(0.899497964308234), np.float64(0.6054272957551877)]","[1166, 762, 862, 646, 1188]","[0, 0, 2, 0, 2]","[np.float64(0.002569945088383776), np.float64(0.0004076334894478026), np.float64(0.009895541749428891), np.float64(0.0), np.float64(0.0)]",Nosov,"['(AUX, ->, VERB, csubj)' '(NOUN, <-, INTJ, cc)' '(ADJ, <-, PART, obj)'
 '(ADJ, ->, PRON, iobj)' '(INTJ, ->, VERB, parataxis)']"
80,80,"[np.float64(2.9738024789907294), np.float64(2.505437604209437), np.float64(2.2160552273918013), np.float64(1.533480248472001), np.float64(1.3039555221461767)]","[696, 714, 1091, 1256, 686]","[0, 0, 0, 0, 2]","[np.float64(0.0005249780285193898), np.float64(0.000286800216794966), np.float64(0.002835021367362236), np.float64(0.0008634110411968955), np.float64(0.0)]",Oseeva,"['(VERB, <-, NOUN, csubj)' '(SCONJ, <-, VERB, advcl)'
 '(NOUN, ->, PART, aux)' '(NOUN, ->, PRON, nsubj)'
 '(NOUN, <-, PRON, mark)']"
81,81,"[np.float64(5.733168961052694), np.float64(3.088305648856283), np.float64(0.6893914950722838), np.float64(-0.041064615304018), np.float64(-0.041064615304018)]","[29, 683, 1156, 646, 1174]","[1, 0, 0, 0, 0]","[np.float64(-8.064515722209117e-11), np.float64(0.00017773998472468222), np.float64(0.012173313717785354), np.float64(0.002915654764198836), np.float64(0.0004682101373441249)]",Oster,"['(NOUN, ->, PRON, iobj)' '(PRON, ->, NOUN, conj)'
 '(ADV, <-, ADV, parataxis)' '(ADJ, ->, PRON, iobj)'
 '(VERB, ->, PRON, iobj)']"
