,author_id,z_score,features,feature_stats,author,feature_names
41,41,"[np.float64(6.961698267296178), np.float64(6.714118089678723), np.float64(6.714118089678723), np.float64(6.2819603299006985), np.float64(6.0368529483326325)]","[1245, 1596, 1674, 1629, 1600]","[np.float64(0.002132050204095776), np.float64(0.0011385702986003376), np.float64(0.0011385702986003376), np.float64(0.0011385702986003376), np.float64(0.0011385702986003376)]",Furmanov,"['(PUNCT, ->, CCONJ, appos)' '(VERB, <-, PAD, orphan)'
 '(PUNCT, ->, NOUN, conj)' '(NUM, ->, ADP, fixed)' '(ADV, ->, PAD, csubj)']"
42,42,"[np.float64(10.92673113221146), np.float64(8.158170240398247), np.float64(8.158170240398242), np.float64(8.158170240398242), np.float64(8.158170240398242)]","[52, 946, 1184, 1206, 1214]","[np.float64(0.05707471157634507), np.float64(0.00404215262494043), np.float64(0.001347384208313477), np.float64(0.001347384208313477), np.float64(0.001347384208313477)]",Gachev,"['(SYM, ->, PROPN, conj)' '(NOUN, <-, ADP, advmod)'
 '(PRON, <-, PUNCT, nmod)' '(ADV, <-, DET, det)' '(AUX, ->, NOUN, conj)']"
43,43,"[np.float64(12.237255360597365), np.float64(12.237255360597365), np.float64(12.237255360597365), np.float64(12.237255360597365), np.float64(12.237255360597365)]","[472, 507, 546, 571, 618]","[np.float64(0.00912069333246716), np.float64(0.00912069333246716), np.float64(0.00912069333246716), np.float64(0.00912069333246716), np.float64(0.00912069333246716)]",Gasymov,"['(PROPN, ->, NUM, conj)' '(SCONJ, ->, SCONJ, advmod)'
 '(DET, <-, ADJ, acl:relcl)' '(NOUN, <-, PUNCT, obj)'
 '(VERB, ->, SCONJ, obj)']"
44,44,"[np.float64(6.118627680298687), np.float64(6.118627680298687), np.float64(6.118627680298687), np.float64(6.118627680298687), np.float64(6.118627680298687)]","[1627, 1641, 1706, 1712, 1763]","[np.float64(0.0009092184584450461), np.float64(0.0009092184584450461), np.float64(0.0009092184584450461), np.float64(0.0009092184584450461), np.float64(0.0009092184584450461)]",Gaydar,"['(ADJ, ->, SYM, nsubj:pass)' '(VERB, <-, AUX, aux:pass)'
 '(AUX, <-, ADJ, obl)' '(CCONJ, <-, NOUN, parataxis)'
 '(X, <-, SCONJ, appos)']"
45,45,"[np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(24.472624696353787), np.float64(24.104770940627052), np.float64(23.602203991593715)]","[100, 228, 23, 160, 159]","[np.float64(0.01661255347359357), np.float64(0.01661255347359357), np.float64(0.04479175141019691), np.float64(0.01661255347359357), np.float64(0.01661255347359357)]",GazetaRu,"['(ADJ, <-, NUM, nsubj)' '(ADP, ->, X, det)'
 '(NOUN, ->, VERB, flat:foreign)' '(PRON, <-, ADJ, nummod)'
 '(NUM, ->, PUNCT, PAD)']"
46,46,"[np.float64(7.307446861947187), np.float64(6.118627680298685), np.float64(6.118627680298685), np.float64(6.118627680298682), np.float64(6.118627680298682)]","[300, 1509, 1532, 1877, 1903]","[np.float64(0.0072693060680671315), np.float64(0.0008617668274706977), np.float64(0.0008617668274706977), np.float64(0.000219969239034624), np.float64(0.000219969239034624)]",Gelb,"['(AUX, <-, NOUN, root)' '(PROPN, <-, VERB, acl:relcl)'
 '(VERB, ->, ADV, case)' '(X, ->, INTJ, nmod)' '(NOUN, <-, PAD, amod)']"
47,47,"[np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(23.898577341034485), np.float64(22.315232299400723)]","[781, 894, 959, 254, 94]","[np.float64(0.002075271212568747), np.float64(0.002075271212568747), np.float64(0.002075271212568747), np.float64(0.010376356062843737), np.float64(0.020752712125687474)]",Gorelov,"['(VERB, <-, DET, aux)' '(PAD, <-, ADP, advmod)' '(PART, <-, PUNCT, flat)'
 '(ADJ, <-, DET, advmod)' '(PROPN, ->, NOUN, acl)']"
48,48,"[np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(24.47451072119473), np.float64(24.40834182385132), np.float64(24.342798210888713)]","[14, 161, 190, 139, 30]","[np.float64(0.045326108843602934), np.float64(0.011331527210900734), np.float64(0.011331527210900734), np.float64(0.011331527210900734), np.float64(0.0339945816327022)]",GorVestnik,"['(PRON, ->, NOUN, flat:foreign)' '(INTJ, ->, ADV, acl:relcl)'
 '(PRON, <-, PUNCT, cc)' '(NUM, ->, NUM, punct)' '(NOUN, <-, SCONJ, mark)']"
49,49,"[np.float64(4.079085120199124), np.float64(4.079085120199124), np.float64(4.079085120199123), np.float64(4.079085120199123), np.float64(4.079085120199123)]","[643, 1752, 1198, 1228, 1250]","[np.float64(0.004520063853416755), np.float64(0.0004661754506141238), np.float64(0.0015066879511389179), np.float64(0.0015066879511389179), np.float64(0.0015066879511389179)]",Granin,"['(NOUN, <-, SCONJ, root)' '(CCONJ, ->, SCONJ, appos)'
 '(PROPN, ->, PAD, flat:name)' '(SYM, ->, NOUN, appos)'
 '(PROPN, <-, SCONJ, advmod)']"
50,50,"[np.float64(3.830126727860522), np.float64(3.4930903312408454), np.float64(3.059313840149343), np.float64(3.059313840149343), np.float64(3.059313840149343)]","[1044, 245, 1549, 1589, 1613]","[np.float64(0.0025032758162186405), np.float64(0.0139469500557009), np.float64(0.0009216838644274614), np.float64(0.0009216838644274614), np.float64(0.0009216838644274614)]",Grekova,"['(CCONJ, ->, VERB, xcomp)' '(PUNCT, <-, X, flat)'
 '(ADJ, ->, PROPN, orphan)' '(PROPN, <-, NOUN, case)'
 '(SCONJ, <-, NUM, nummod)']"
51,51,"[np.float64(3.059313840149342), np.float64(3.059313840149342), np.float64(3.059313840149341), np.float64(3.059313840149341), np.float64(3.059313840149341)]","[1068, 1707, 1941, 1947, 1954]","[np.float64(0.001362082802078231), np.float64(0.0005111104122260971), np.float64(0.00039383080676636196), np.float64(0.00039383080676636196), np.float64(0.00039383080676636196)]",Grin,"['(SYM, ->, PRON, det)' '(DET, ->, DET, advmod)'
 '(DET, ->, PROPN, flat:foreign)' '(DET, <-, NOUN, advcl)'
 '(NOUN, ->, NUM, amod)']"
52,52,"[np.float64(17.306753833106743), np.float64(17.306753833106743), np.float64(17.306753833106743), np.float64(17.306753833106743), np.float64(17.306753833106743)]","[741, 746, 772, 927, 973]","[np.float64(0.004781252570171433), np.float64(0.004781252570171433), np.float64(0.004781252570171433), np.float64(0.004781252570171433), np.float64(0.004781252570171433)]",Gusev,"['(X, <-, SCONJ, obl)' '(PUNCT, ->, PUNCT, aux:pass)'
 '(NOUN, <-, PUNCT, fixed)' '(VERB, <-, CCONJ, nummod:gov)'
 '(PRON, ->, ADJ, acl)']"
53,53,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(23.966340211132326), np.float64(23.88539182493711)]","[75, 287, 404, 113, 332]","[np.float64(0.003250938915870387), np.float64(0.003250938915870387), np.float64(0.013003755663481548), np.float64(0.009752816747611163), np.float64(0.003250938915870387)]",Gusiatnikova,"['(PROPN, <-, DET, fixed)' '(CCONJ, ->, SCONJ, orphan)'
 '(ADV, ->, NUM, advcl)' '(PROPN, ->, X, nsubj)' '(PRON, ->, NOUN, obj)']"
54,54,"[np.float64(5.16413754682117), np.float64(4.894902144238948), np.float64(4.894902144238948), np.float64(4.894902144238947), np.float64(4.894902144238947)]","[1169, 1745, 1779, 1469, 1483]","[np.float64(0.000932694010849921), np.float64(0.00043396494381371393), np.float64(0.00043396494381371393), np.float64(0.0004951864653665143), np.float64(0.00043750754548340666)]",Hoffman,"['(SCONJ, ->, X, case)' '(ADV, ->, ADP, csubj)' '(ADV, <-, PROPN, advmod)'
 '(ADP, ->, NOUN, advmod)' '(PART, ->, INTJ, advmod)']"
55,55,"[np.float64(2.9388263323724364), np.float64(2.7680501054166533), np.float64(2.719390080132749), np.float64(2.7193900801327486), np.float64(2.7193900801327486)]","[792, 641, 1187, 1548, 1552]","[np.float64(0.003509125747344077), np.float64(0.004557171186139476), np.float64(0.0017983675095141077), np.float64(0.0010279107496740426), np.float64(0.0010279107496740426)]",Kassil,"['(SCONJ, ->, PUNCT, fixed)' '(PUNCT, <-, ADV, advmod)'
 '(X, <-, AUX, cop)' '(PAD, <-, NOUN, appos)' '(VERB, ->, AUX, root)']"
56,56,"[np.float64(3.368403836481782), np.float64(2.7912204398842904), np.float64(2.687059028726904), np.float64(2.651221307720105), np.float64(2.433213088176635)]","[1948, 1348, 1209, 1515, 1945]","[np.float64(0.0005531711848511947), np.float64(0.0012747700983366751), np.float64(0.0015964891698919412), np.float64(0.0009868100289258685), np.float64(0.0005531711848511947)]",Kataev,"['(ADV, ->, PART, obl)' '(VERB, ->, PAD, nummod:gov)'
 '(ADJ, ->, INTJ, punct)' '(ADP, ->, PRON, advmod)' '(VERB, ->, X, flat)']"
57,57,"[np.float64(2.5348578255428618), np.float64(2.154859124549578), np.float64(2.0852201129760584), np.float64(2.0821915334227064), np.float64(1.9585562935646577)]","[1698, 1667, 6, 89, 1702]","[np.float64(0.0006926642128582139), np.float64(0.0007128366056972939), np.float64(0.060513062570443886), np.float64(0.02241885384225679), np.float64(0.0006926642128582139)]",Kaverin,"['(INTJ, ->, ADV, mark)' '(NOUN, <-, INTJ, iobj)' '(VERB, ->, DET, fixed)'
 '(ADV, <-, NOUN, cc)' '(NOUN, <-, ADJ, csubj)']"
58,58,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.36110635271157), np.float64(24.127831972142936)]","[232, 346, 349, 441, 314]","[np.float64(0.006481026857099109), np.float64(0.006481026857099109), np.float64(0.006481026857099109), np.float64(0.006481026857099109), np.float64(0.006481026857099109)]",Kirsanova Anodina Aksenov,"['(ADJ, ->, X, cc)' '(CCONJ, ->, PART, parataxis)'
 '(INTJ, <-, CCONJ, fixed)' '(X, ->, PROPN, advcl)'
 '(ADJ, <-, NOUN, root)']"
59,59,"[np.float64(13.016863959280675), np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(12.23725536059737)]","[612, 1172, 1493, 1842, 1940]","[np.float64(0.005264829575883071), np.float64(0.0003254910977120258), np.float64(0.0003254910977120258), np.float64(0.0013019643908481033), np.float64(0.0003254910977120258)]",Knabe,"['(PROPN, <-, NUM, root)' '(AUX, <-, ADJ, det)' '(PART, <-, DET, det)'
 '(X, <-, PRON, mark)' '(PUNCT, ->, PUNCT, punct)']"
60,60,"[np.float64(24.474510721194733), np.float64(24.19579863298781), np.float64(22.411909616835032), np.float64(21.89095390132235), np.float64(21.066591414991496)]","[408, 348, 407, 379, 360]","[np.float64(0.011205864180114466), np.float64(0.011205864180114466), np.float64(0.011205864180114466), np.float64(0.011205864180114466), np.float64(0.011205864180114466)]",Koni,"['(SYM, <-, NUM, amod)' '(INTJ, ->, ADJ, nsubj)' '(ADV, ->, AUX, nsubj)'
 '(PRON, ->, SCONJ, mark)' '(VERB, <-, PUNCT, obl)']"
61,61,"[np.float64(5.257220821178933), np.float64(4.894902144238948), np.float64(4.894902144238948), np.float64(4.894902144238946), np.float64(4.894902144238946)]","[739, 1410, 1478, 1598, 1616]","[np.float64(0.0026849808133326894), np.float64(0.0006142709203166503), np.float64(0.0006142709203166503), np.float64(0.0005569615763644754), np.float64(0.0005569615763644754)]",Kozlov,"['(PART, ->, DET, conj)' '(ADJ, ->, SCONJ, ccomp)'
 '(VERB, ->, X, nummod:gov)' '(PRON, <-, NOUN, case)'
 '(ADP, <-, ADP, mark)']"
62,62,"[np.float64(3.228671570305381), np.float64(2.3723807210016696), np.float64(2.3552829912723823), np.float64(2.330908060232788), np.float64(2.245079801222631)]","[49, 57, 1529, 1368, 882]","[np.float64(0.02883032208708618), np.float64(0.02757042870337265), np.float64(0.0008011771348902681), np.float64(0.0010487269140754037), np.float64(0.002512605646426247)]",Krapivin,"['(ADV, ->, ADP, parataxis)' '(VERB, <-, PROPN, acl)' '(X, ->, CCONJ, cc)'
 '(NUM, <-, ADJ, obl)' '(CCONJ, <-, NUM, nummod)']"
63,63,"[np.float64(2.4294323682622405), np.float64(2.0976948279663747), np.float64(2.0362880119752096), np.float64(2.0134241854978296), np.float64(1.908170906383053)]","[1328, 1969, 1678, 173, 687]","[np.float64(0.0014288458566011335), np.float64(0.0005715383426404536), np.float64(0.0008573075139606803), np.float64(0.015192819182183272), np.float64(0.0044488038366733585)]",Kuprin,"['(PAD, ->, INTJ, appos)' '(ADV, <-, VERB, advmod)'
 '(ADJ, ->, ADP, advcl)' '(VERB, ->, PROPN, flat:name)'
 '(PROPN, <-, PART, orphan)']"
64,64,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247)]","[621, 624, 713, 725, 956]","[np.float64(0.004700369904374516), np.float64(0.004700369904374516), np.float64(0.004700369904374516), np.float64(0.002673860939484132), np.float64(0.002673860939484132)]",Lermontov,"['(PAD, ->, VERB, acl)' '(PROPN, ->, X, det)' '(PART, ->, ADJ, advcl)'
 '(ADJ, <-, NUM, PAD)' '(VERB, ->, ADV, obj)']"
65,65,"[np.float64(5.764561908156666), np.float64(5.513121914540462), np.float64(5.483563452943281), np.float64(4.296684367809504), np.float64(4.271360323177657)]","[43, 29, 57, 465, 128]","[np.float64(0.05150925365083846), np.float64(0.05870171998956986), np.float64(0.04565281104647828), np.float64(0.008600580925524738), np.float64(0.025665684344446046)]",Losev,"['(PRON, ->, ADV, acl:relcl)' '(DET, ->, SCONJ, acl:relcl)'
 '(VERB, <-, PROPN, acl)' '(PUNCT, ->, ADP, orphan)'
 '(ADJ, ->, ADV, advcl)']"
66,66,"[np.float64(24.474510721194733), np.float64(17.31219309475643), np.float64(14.27080585256607), np.float64(12.531585076349216), np.float64(10.552984424056927)]","[607, 584, 572, 715, 739]","[np.float64(0.002482478349664324), np.float64(0.002482478349664324), np.float64(0.002482478349664324), np.float64(0.002482478349664324), np.float64(0.002482478349664324)]",Lubimova,"['(NUM, <-, VERB, discourse)' '(AUX, <-, VERB, acl)'
 '(X, <-, VERB, nsubj)' '(ADJ, ->, AUX, nsubj)' '(PART, ->, DET, conj)']"
67,67,"[np.float64(5.168813702913564), np.float64(3.8911605264925893), np.float64(3.865834060552268), np.float64(3.394569241599884), np.float64(3.34404378137915)]","[366, 2, 745, 1409, 1155]","[np.float64(0.007647014232165761), np.float64(0.07170953585921833), np.float64(0.00302281133721797), np.float64(0.000866039620675097), np.float64(0.001429379398911643)]",Lukyanenko,"['(PUNCT, ->, PRON, acl:relcl)' '(PRON, <-, AUX, orphan)'
 '(PART, ->, ADP, case)' '(INTJ, ->, ADP, orphan)'
 '(ADV, ->, NUM, advmod)']"
68,68,"[np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(24.474510721194733)]","[925, 1068, 1076, 1092, 1212]","[np.float64(0.0018827740043387397), np.float64(0.0018827740043387397), np.float64(0.0018827740043387397), np.float64(0.0018827740043387397), np.float64(0.0018827740043387397)]",Lungu,"['(PUNCT, ->, PUNCT, flat:foreign)' '(SYM, ->, PRON, det)'
 '(PROPN, <-, ADJ, advcl)' '(ADJ, ->, AUX, advmod)'
 '(SYM, <-, ADJ, nummod)']"
69,69,"[np.float64(7.529518247733995), np.float64(6.881436889956687), np.float64(6.366292393234892), np.float64(6.363314427051131), np.float64(6.328024578777377)]","[85, 64, 40, 48, 61]","[np.float64(0.040679234956765564), np.float64(0.04727806942628922), np.float64(0.058707469828533664), np.float64(0.053712234168661485), np.float64(0.04753418601165625)]",Makushinskiyi,"['(ADV, ->, ADV, iobj)' '(ADP, ->, PART, appos)' '(ADJ, ->, ADJ, ccomp)'
 '(ADP, ->, VERB, obl)' '(PART, <-, PROPN, conj)']"
70,70,"[np.float64(13.155962403301528), np.float64(11.88813628417061), np.float64(11.523742658641506), np.float64(11.523742658641506), np.float64(11.523742658641506)]","[693, 892, 970, 1457, 1518]","[np.float64(0.005646884689898186), np.float64(0.003883702272714809), np.float64(0.0017631824171833765), np.float64(0.003526364834366753), np.float64(0.0017631824171833765)]",Malevish,"['(NUM, <-, ADP, obl)' '(NOUN, ->, PUNCT, case)' '(PRON, ->, X, compound)'
 '(ADJ, ->, ADP, case)' '(ADJ, <-, NUM, csubj)']"
71,71,"[np.float64(3.698136929990698), np.float64(3.311574216343177), np.float64(2.1855800551310405), np.float64(2.126317241516012), np.float64(2.0809977792473986)]","[32, 57, 16, 90, 77]","[np.float64(0.048487973532687224), np.float64(0.03381527842461094), np.float64(0.05779999691579331), np.float64(0.026774309726168663), np.float64(0.029343270781542363)]",Mamin-Sibiryak,"['(DET, ->, ADP, advmod)' '(VERB, <-, PROPN, acl)' '(INTJ, ->, ADP, mark)'
 '(CCONJ, ->, SCONJ, advmod)' '(VERB, <-, CCONJ, cc)']"
72,72,"[np.float64(19.225313316588704), np.float64(17.89919014124857), np.float64(15.018750186475831), np.float64(14.956745812809359), np.float64(12.638329935946306)]","[818, 458, 628, 362, 575]","[np.float64(0.005560038830037656), np.float64(0.005560038830037656), np.float64(0.005560038830037656), np.float64(0.011120077660075311), np.float64(0.005560038830037656)]",Mamina,"['(ADJ, ->, ADP, xcomp)' '(SYM, ->, NOUN, root)' '(PAD, ->, PUNCT, punct)'
 '(PROPN, <-, SYM, nummod:entity)' '(PART, ->, INTJ, cc)']"
73,73,"[np.float64(24.47451072119474), np.float64(24.47451072119474), np.float64(24.47451072119474), np.float64(21.86638259881191), np.float64(20.022819111553012)]","[645, 836, 837, 834, 676]","[np.float64(0.00401051981183044), np.float64(0.00401051981183044), np.float64(0.00401051981183044), np.float64(0.00401051981183044), np.float64(0.00401051981183044)]",Marchik,"['(ADJ, ->, INTJ, flat:foreign)' '(AUX, ->, PUNCT, mark)'
 '(VERB, ->, ADV, PAD)' '(PRON, <-, NOUN, obl)' '(X, <-, X, discourse)']"
74,74,"[np.float64(3.387112857855262), np.float64(2.9728370468488334), np.float64(2.8080518130806493), np.float64(2.7271530796892516), np.float64(2.6894342818937695)]","[1687, 1563, 1262, 78, 1143]","[np.float64(0.0006291120117070264), np.float64(0.0007371743424475488), np.float64(0.0012124450467395733), np.float64(0.02665879521661898), np.float64(0.0015589992988967248)]",Marinina,"['(SCONJ, ->, PROPN, nmod)' '(NUM, ->, X, advmod)' '(NUM, ->, SYM, root)'
 '(PART, <-, PART, mark)' '(PART, <-, INTJ, cop)']"
75,75,"[np.float64(12.072572951904016), np.float64(12.00840436727324), np.float64(11.867740492772107), np.float64(11.819712324063948), np.float64(11.492943349437775)]","[218, 270, 112, 207, 217]","[np.float64(0.01573737967873605), np.float64(0.01573737967873605), np.float64(0.018884855614483262), np.float64(0.01573737967873605), np.float64(0.01573737967873605)]",Mikhalkov,"['(INTJ, ->, CCONJ, mark)' '(NUM, ->, DET, orphan)'
 '(DET, ->, NOUN, root)' '(INTJ, <-, ADV, parataxis)'
 '(PRON, ->, PROPN, cop)']"
76,76,"[np.float64(6.620700000595465), np.float64(4.894902144238948), np.float64(4.894902144238948), np.float64(4.894902144238948), np.float64(4.894902144238947)]","[477, 1063, 1071, 1129, 1544]","[np.float64(0.00845433022536591), np.float64(0.0028009331277933365), np.float64(0.0028009331277933365), np.float64(0.0028009331277933365), np.float64(0.000744691464568521)]",Moshkov,"['(ADJ, ->, ADJ, flat:foreign)' '(PART, ->, PRON, acl:relcl)'
 '(ADJ, <-, SCONJ, root)' '(ADV, ->, INTJ, parataxis)'
 '(X, <-, PROPN, discourse)']"
77,77,"[np.float64(23.412495982978406), np.float64(23.26174595794252), np.float64(22.583480814889757), np.float64(22.434497867051565), np.float64(21.443809157219334)]","[129, 286, 140, 193, 258]","[np.float64(0.016588838193831123), np.float64(0.016588838193831123), np.float64(0.016588838193831123), np.float64(0.016588838193831123), np.float64(0.016588838193831123)]",NakedScience,"['(DET, ->, ADP, root)' '(PRON, <-, PUNCT, advmod)' '(NUM, <-, DET, obl)'
 '(INTJ, ->, PART, punct)' '(ADJ, ->, ADV, xcomp)']"
78,78,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736)]","[845, 886, 1104, 1167, 1192]","[np.float64(0.0017363438408335746), np.float64(0.0017363438408335746), np.float64(0.0017363438408335746), np.float64(0.0017363438408335746), np.float64(0.0034726876816671493)]",nlobooks[ru],"['(PAD, ->, DET, iobj)' '(PRON, <-, NOUN, fixed)' '(ADP, <-, NOUN, root)'
 '(PROPN, ->, X, ccomp)' '(X, <-, PUNCT, root)']"
79,79,"[np.float64(6.77564910768457), np.float64(4.917754306771949), np.float64(4.894902144238947), np.float64(4.894902144238947), np.float64(4.894902144238946)]","[388, 290, 1044, 1045, 1210]","[np.float64(0.006769680002328217), np.float64(0.008972290602746173), np.float64(0.0015345092288889023), np.float64(0.0015345092288889023), np.float64(0.0013230035156905464)]",Nosov,"['(X, ->, DET, orphan)' '(VERB, <-, PROPN, aux)'
 '(CCONJ, ->, VERB, xcomp)' '(PUNCT, <-, ADJ, acl:relcl)'
 '(PAD, <-, NUM, nummod:gov)']"
80,80,"[np.float64(6.4841062689341715), np.float64(6.337847646627104), np.float64(4.894902144238949), np.float64(4.894902144238947), np.float64(4.894902144238947)]","[1157, 1016, 1687, 1765, 1849]","[np.float64(0.0014031697266653322), np.float64(0.0017563833962918852), np.float64(0.0005397586854684367), np.float64(0.000338433012677506), np.float64(0.000338433012677506)]",Oseeva,"['(INTJ, ->, ADV, appos)' '(NOUN, <-, NUM, fixed)'
 '(SCONJ, ->, PROPN, nmod)' '(NOUN, <-, NUM, nummod:gov)'
 '(PROPN, <-, NUM, mark)']"
81,81,"[np.float64(12.23725536059737), np.float64(12.237255360597368), np.float64(12.237255360597368), np.float64(12.224360088757134), np.float64(12.166532519877206)]","[204, 93, 148, 130, 94]","[np.float64(0.012056756485520435), np.float64(0.022523298965492346), np.float64(0.022523298965492346), np.float64(0.022523298965492346), np.float64(0.022523298965492346)]",Oster,"['(PRON, ->, DET, amod)' '(SCONJ, <-, PRON, iobj)'
 '(PUNCT, ->, ADP, advmod)' '(PART, ->, DET, nsubj)'
 '(PROPN, ->, NOUN, acl)']"
