,author_id,z_score,features,feature_stats,feature_names,author
0,0,"[np.float64(3.8901844972545474), np.float64(3.4847763451501605), np.float64(3.4521244462637513), np.float64(3.4311831434168876), np.float64(3.2963794968866407)]","[np.int64(733), np.int64(1842), np.int64(967), np.int64(1538), np.int64(1448)]","[np.float64(0.01638865856574776), np.float64(0.002152631430016832), np.float64(0.002152631430016832), np.float64(0.0018465857819503623), np.float64(0.0031768647272416863)]","[np.str_('(ADJ, ->, PROPN, appos)'), np.str_('(ADV, <-, ADJ, parataxis)'), np.str_('(PRON, ->, ADP, fixed)'), np.str_('(VERB, <-, ADV, xcomp)'), np.str_('(VERB, ->, NUM, ccomp)')]",Abgaryan
1,1,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(6.3346460445859565), np.float64(2.8845402660843655), np.float64(2.832370370431881)]","[np.int64(875), np.int64(103), np.int64(974), np.int64(901), np.int64(1490)]","[np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.044896459780915214)]","[np.str_('(PART, ->, PART, conj)'), np.str_('(PROPN, <-, ADV, nmod)'), np.str_('(ADV, <-, PART, fixed)'), np.str_('(PROPN, ->, ADV, mark)'), np.str_('(ADJ, ->, ADV, conj)')]",Adamov
2,2,"[np.float64(5.631719024779759), np.float64(4.894902144238948), np.float64(4.894902144238946), np.float64(4.619906837306453), np.float64(3.2467347945766982)]","[np.int64(112), np.int64(375), np.int64(1892), np.int64(572), np.int64(623)]","[np.float64(0.01883629903262058), np.float64(0.00047208409970088806), np.float64(0.0005755714027711693), np.float64(0.00047208409970088806), np.float64(0.0005755714027711693)]","[np.str_('(ADJ, <-, DET, nmod)'), np.str_('(VERB, <-, INTJ, parataxis)'), np.str_('(ADJ, ->, CCONJ, conj)'), np.str_('(ADV, ->, PROPN, orphan)'), np.str_('(ADJ, <-, ADJ, iobj)')]",Aksakov
3,3,"[np.float64(9.271365393586171), np.float64(7.284028645404235), np.float64(6.424328745215853), np.float64(6.3510546488272706), np.float64(5.803509456589871)]","[np.int64(645), np.int64(657), np.int64(417), np.int64(227), np.int64(407)]","[np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794)]","[np.str_('(PRON, ->, ADJ, nummod)'), np.str_('(ADJ, ->, VERB, advmod)'), np.str_('(VERB, <-, DET, parataxis)'), np.str_('(ADV, <-, DET, parataxis)'), np.str_('(ADJ, <-, ADV, parataxis)')]",AkuninBorisova
4,4,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(6.600691650642883), np.float64(5.63625906303322), np.float64(5.255299185845161)]","[np.int64(1350), np.int64(537), np.int64(1785), np.int64(1422), np.int64(615)]","[np.float64(0.0009681571220546691), np.float64(0.0009681571220546691), np.float64(0.0013355784170852021), np.float64(0.0009681571220546691), np.float64(0.0009681571220546691)]","[np.str_('(PRON, ->, PART, conj)'), np.str_('(SCONJ, <-, ADJ, obl)'), np.str_('(ADV, ->, ADJ, obj)'), np.str_('(X, ->, VERB, advcl)'), np.str_('(NOUN, ->, ADJ, acl)')]",AkuninBrusnikin
5,5,"[np.float64(3.0736702803201297), np.float64(2.8680780696517827), np.float64(2.678411182880129), np.float64(2.664050207588045), np.float64(2.6086512642686093)]","[np.int64(866), np.int64(377), np.int64(1588), np.int64(1300), np.int64(310)]","[np.float64(0.005718074176230341), np.float64(0.07165550321196229), np.float64(0.016746084236603752), np.float64(0.000757786622146563), np.float64(0.000757786622146563)]","[np.str_('(PRON, <-, VERB, advmod)'), np.str_('(PROPN, ->, VERB, orphan)'), np.str_('(PRON, ->, INTJ, cc)'), np.str_('(ADV, <-, X, advmod)'), np.str_('(NOUN, <-, ADJ, punct)')]",Akunin
6,6,"[np.float64(2.553100459137968), np.float64(2.270741595193613), np.float64(2.1697881547871516), np.float64(2.1390649746827948), np.float64(2.0908800019465397)]","[np.int64(1684), np.int64(371), np.int64(1063), np.int64(1707), np.int64(1600)]","[np.float64(0.00627645674729075), np.float64(0.011144563609089756), np.float64(0.031279939694106376), np.float64(0.055767875458625576), np.float64(0.053497559604593035)]","[np.str_('(PART, <-, X, obl)'), np.str_('(ADJ, ->, X, obl)'), np.str_('(X, ->, ADP, conj)'), np.str_('(PRON, ->, ADP, acl)'), np.str_('(VERB, ->, NOUN, acl:relcl)')]",Aldanov
7,7,"[np.float64(5.789855944364911), np.float64(4.079085120199123), np.float64(4.079085120199122), np.float64(4.079085120199122), np.float64(4.079085120199122)]","[np.int64(848), np.int64(1171), np.int64(1595), np.int64(1606), np.int64(381)]","[np.float64(0.007390785906223902), np.float64(0.0032754787947575728), np.float64(0.000595979258589037), np.float64(0.000595979258589037), np.float64(0.000595979258589037)]","[np.str_('(NOUN, ->, SYM, nummod:entity)'), np.str_('(VERB, <-, ADJ, orphan)'), np.str_('(PRON, ->, SCONJ, orphan)'), np.str_('(NOUN, <-, PROPN, acl)'), np.str_('(VERB, <-, DET, conj)')]",Aleshkovsky
8,8,"[np.float64(11.53841223519292), np.float64(10.893299903113833), np.float64(9.662944654925555), np.float64(8.695554204835384), np.float64(8.61364962928451)]","[np.int64(141), np.int64(360), np.int64(166), np.int64(891), np.int64(39)]","[np.float64(0.07418455821564152), np.float64(0.007065196020537287), np.float64(0.007065196020537287), np.float64(0.0035325980102686436), np.float64(0.03443581594671481)]","[np.str_('(PUNCT, ->, ADV, root)'), np.str_('(NOUN, <-, PRON, nmod)'), np.str_('(PAD, ->, NOUN, conj)'), np.str_('(NUM, <-, ADJ, nsubj)'), np.str_('(ADJ, ->, PRON, nsubj)')]",Alexander Hofman
9,9,"[np.float64(7.9806418657895675), np.float64(6.58521311840171), np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298684)]","[np.int64(1538), np.int64(1992), np.int64(1250), np.int64(694), np.int64(1354)]","[np.float64(0.0017770405230561532), np.float64(0.009041097188779296), np.float64(0.008040737530874942), np.float64(0.0007766808651517977), np.float64(0.0007766808651517977)]","[np.str_('(VERB, <-, ADV, xcomp)'), np.str_('(VERB, ->, INTJ, advmod)'), np.str_('(ADV, <-, NOUN, det)'), np.str_('(PRON, ->, ADP, case)'), np.str_('(PUNCT, ->, PROPN, parataxis)')]",Astafiev
10,10,"[np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298683), np.float64(6.118627680298683), np.float64(5.918593525979272)]","[np.int64(1299), np.int64(855), np.int64(218), np.int64(313), np.int64(710)]","[np.float64(0.0024898731884883648), np.float64(0.00038589309263961093), np.float64(0.0006187600887384223), np.float64(0.0006187600887384223), np.float64(0.0024898731884883648)]","[np.str_('(VERB, ->, ADV, conj)'), np.str_('(NOUN, ->, VERB, obj)'), np.str_('(PRON, <-, ADV, root)'), np.str_('(NOUN, <-, NOUN, fixed)'), np.str_('(ADV, <-, NOUN, orphan)')]",Bakhtin
11,11,"[np.float64(13.875803429812727), np.float64(12.307833857192259), np.float64(9.436901728954918), np.float64(9.020191259883465), np.float64(4.918969480042771)]","[np.int64(1277), np.int64(1159), np.int64(1766), np.int64(1364), np.int64(1526)]","[np.float64(0.0025245451129217254), np.float64(0.0025245451129217254), np.float64(0.0025245451129217254), np.float64(0.0025245451129217254), np.float64(0.0025245451129217254)]","[np.str_('(PROPN, <-, ADJ, parataxis)'), np.str_('(NUM, <-, VERB, obl)'), np.str_('(PRON, ->, ADV, nsubj)'), np.str_('(PART, ->, INTJ, parataxis)'), np.str_('(INTJ, ->, NOUN, orphan)')]",Barinova
12,12,"[np.float64(24.474510721194736), np.float64(17.29248133517187), np.float64(5.0814076201589895), np.float64(4.961029145009675), np.float64(4.69573934634453)]","[np.int64(866), np.int64(48), np.int64(998), np.int64(934), np.int64(39)]","[np.float64(0.0015735248686227085), np.float64(0.01101467408035896), np.float64(0.001332722943659804), np.float64(0.0015735248686227085), np.float64(0.003147049737245417)]","[np.str_('(PRON, <-, VERB, advmod)'), np.str_('(CCONJ, <-, VERB, parataxis)'), np.str_('(NOUN, ->, VERB, cop)'), np.str_('(ADJ, <-, NOUN, nummod:gov)'), np.str_('(ADJ, ->, PRON, nsubj)')]",bashinform 202
13,13,"[np.float64(2.461432623196619), np.float64(2.4474510721194735), np.float64(2.385524106736426), np.float64(2.2707210926465367), np.float64(2.125123184592326)]","[np.int64(1843), np.int64(694), np.int64(1726), np.int64(222), np.int64(336)]","[np.float64(0.0016988482182576337), np.float64(0.0003003364097037684), np.float64(0.009677198558692634), np.float64(0.02089463953682937), np.float64(0.009677198558692634)]","[np.str_('(VERB, ->, PRON, iobj)'), np.str_('(PRON, ->, ADP, case)'), np.str_('(PROPN, ->, PROPN, amod)'), np.str_('(VERB, ->, ADP, obl)'), np.str_('(NOUN, <-, X, appos)')]",Belyaev
14,14,"[np.float64(4.513117592468793), np.float64(4.227436703698391), np.float64(3.474324701937278), np.float64(3.418288155396978), np.float64(3.059313840149343)]","[np.int64(1364), np.int64(794), np.int64(239), np.int64(615), np.int64(1726)]","[np.float64(0.01501804993978505), np.float64(0.005854560054893338), np.float64(0.06474580842519749), np.float64(0.009362089630448413), np.float64(0.0007284250184588026)]","[np.str_('(PART, ->, INTJ, parataxis)'), np.str_('(ADJ, ->, ADJ, amod)'), np.str_('(NOUN, <-, NOUN, mark)'), np.str_('(NOUN, ->, ADJ, acl)'), np.str_('(PROPN, ->, PROPN, amod)')]",Belyanin
15,15,"[np.float64(18.113823813553452), np.float64(15.972149302751303), np.float64(15.184238750809895), np.float64(15.061248902756438), np.float64(10.791627264696789)]","[np.int64(1367), np.int64(390), np.int64(319), np.int64(299), np.int64(229)]","[np.float64(0.003479185974484642), np.float64(0.027833487795877136), np.float64(0.003479185974484642), np.float64(0.003479185974484642), np.float64(0.013916743897938568)]","[np.str_('(PART, <-, DET, advmod)'), np.str_('(NOUN, ->, VERB, nmod)'), np.str_('(ADP, ->, NOUN, nsubj)'), np.str_('(PART, <-, VERB, conj)'), np.str_('(VERB, <-, VERB, iobj)')]",Bobkova
16,16,"[np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(4.281435594853317), np.float64(3.9666189037844832), np.float64(3.543489192207403)]","[np.int64(1652), np.int64(854), np.int64(1538), np.int64(238), np.int64(830)]","[np.float64(0.0011639625382511042), np.float64(0.0011639625382511042), np.float64(0.000768368725990564), np.float64(0.008339814352976642), np.float64(0.000768368725990564)]","[np.str_('(NOUN, <-, VERB, iobj)'), np.str_('(PART, ->, NOUN, punct)'), np.str_('(VERB, <-, ADV, xcomp)'), np.str_('(NOUN, <-, ADV, obj)'), np.str_('(VERB, <-, ADJ, conj)')]",BonchOsmolovskaya
17,17,"[np.float64(3.496358674456391), np.float64(3.4963586744563906), np.float64(3.4963586744563906), np.float64(3.4848055292100404), np.float64(3.41565518559732)]","[np.int64(1988), np.int64(325), np.int64(713), np.int64(1599), np.int64(1033)]","[np.float64(0.002414012694295035), np.float64(0.0005708053348846137), np.float64(0.0005708053348846137), np.float64(0.004064954365605664), np.float64(0.0014152405054252966)]","[np.str_('(X, <-, X, obj)'), np.str_('(NOUN, ->, PROPN, root)'), np.str_('(PAD, ->, PART, advmod)'), np.str_('(X, <-, VERB, appos)'), np.str_('(VERB, ->, VERB, fixed)')]",Brustein
18,18,"[np.float64(3.4731137118970308), np.float64(3.059313840149342), np.float64(2.988359850356964), np.float64(2.931869343035268), np.float64(2.713548215206815)]","[np.int64(1176), np.int64(75), np.int64(1629), np.int64(790), np.int64(407)]","[np.float64(0.004364390973540206), np.float64(0.0036808964957035905), np.float64(0.0012233307867695403), np.float64(0.007361792991407181), np.float64(0.0007686633392457834)]","[np.str_('(ADJ, <-, PART, nsubj)'), np.str_('(NUM, ->, VERB, acl:relcl)'), np.str_('(VERB, ->, PART, conj)'), np.str_('(NOUN, ->, NUM, orphan)'), np.str_('(ADJ, <-, ADV, parataxis)')]",Bulgakov
19,19,"[np.float64(2.2249555201086126), np.float64(2.2249555201086126), np.float64(2.177812638611682), np.float64(2.141154538938906), np.float64(1.930771200131159)]","[np.int64(912), np.int64(668), np.int64(377), np.int64(1807), np.int64(199)]","[np.float64(0.00034102004059308156), np.float64(0.00034102004059308156), np.float64(0.0005329922637436922), np.float64(0.008525501014827038), np.float64(0.00034102004059308156)]","[np.str_('(ADJ, <-, ADJ, nummod)'), np.str_('(PRON, <-, VERB, root)'), np.str_('(PROPN, ->, VERB, orphan)'), np.str_('(ADJ, <-, NOUN, advmod)'), np.str_('(PRON, ->, ADV, mark)')]",Bulychev
20,20,"[np.float64(2.9681699331195692), np.float64(2.8915015831370634), np.float64(2.5905473479059284), np.float64(2.447451072119473), np.float64(2.4087761538928945)]","[np.int64(1868), np.int64(940), np.int64(1829), np.int64(1740), np.int64(242)]","[np.float64(0.0020330212738676277), np.float64(0.0010684954439405244), np.float64(0.0018510106358989706), np.float64(0.0008535541942357055), np.float64(0.13390308558211425)]","[np.str_('(SCONJ, <-, PART, root)'), np.str_('(PROPN, <-, NOUN, nummod)'), np.str_('(INTJ, ->, INTJ, discourse)'), np.str_('(DET, <-, ADJ, root)'), np.str_('(VERB, ->, VERB, acl)')]",Bushkov
21,21,"[np.float64(4.10401176878738), np.float64(2.7732269399317415), np.float64(2.719390080132748), np.float64(2.534282664087734), np.float64(2.526334443588735)]","[np.int64(1519), np.int64(999), np.int64(706), np.int64(1785), np.int64(1855)]","[np.float64(0.06008783238691767), np.float64(0.02729533571842129), np.float64(0.0005928569954635344), np.float64(0.019602326122918883), np.float64(0.0050784076626136255)]","[np.str_('(VERB, <-, VERB, punct)'), np.str_('(PART, <-, PART, fixed)'), np.str_('(AUX, ->, ADJ, amod)'), np.str_('(ADV, ->, ADJ, obj)'), np.str_('(PRON, ->, INTJ, parataxis)')]",Bykov
22,22,"[np.float64(10.9212622491896), np.float64(7.714553274828333), np.float64(5.184623445246467), np.float64(3.3065089978695754), np.float64(2.3320469231382845)]","[np.int64(51), np.int64(140), np.int64(50), np.int64(23), np.int64(42)]","[np.float64(0.01838683727021946), np.float64(0.01838683727021946), np.float64(0.03568563619263084), np.float64(0.03677367454043892), np.float64(0.025956065444308847)]","[np.str_('(ADJ, <-, VERB, nsubj)'), np.str_('(ADV, <-, ADV, fixed)'), np.str_('(VERB, <-, VERB, advcl)'), np.str_('(PROPN, ->, ADV, obl)'), np.str_('(PROPN, <-, ADJ, iobj)')]",Chechin
23,23,"[np.float64(5.715808924628943), np.float64(5.112082280529207), np.float64(4.475671774306918), np.float64(4.398099968134373), np.float64(4.299041796401139)]","[np.int64(140), np.int64(697), np.int64(332), np.int64(1499), np.int64(7)]","[np.float64(0.09748627786298371), np.float64(0.06716711968452978), np.float64(0.008062890595747184), np.float64(0.003185094451139802), np.float64(0.1338492209098259)]","[np.str_('(ADV, <-, ADV, fixed)'), np.str_('(NOUN, ->, NOUN, punct)'), np.str_('(ADV, ->, NUM, conj)'), np.str_('(X, <-, PRON, amod)'), np.str_('(VERB, ->, ADP, parataxis)')]",Chekhov
24,24,"[np.float64(4.079085120199124), np.float64(4.079085120199124), np.float64(4.079085120199124), np.float64(4.079085120199122), np.float64(3.436649788250522)]","[np.int64(1289), np.int64(261), np.int64(891), np.int64(487), np.int64(1320)]","[np.float64(0.0005217359352057789), np.float64(0.0005217359352057789), np.float64(0.0005217359352057789), np.float64(0.00041060674334743693), np.float64(0.001210380627307)]","[np.str_('(DET, ->, VERB, discourse)'), np.str_('(PRON, <-, NUM, advmod)'), np.str_('(NUM, <-, ADJ, nsubj)'), np.str_('(NOUN, <-, SCONJ, root)'), np.str_('(PRON, <-, ADP, fixed)')]",Cherkasova
25,25,"[np.float64(12.541932637047779), np.float64(12.15584755390419), np.float64(11.938205089746338), np.float64(11.436663723569936), np.float64(11.257865918524965)]","[np.int64(494), np.int64(1543), np.int64(813), np.int64(336), np.int64(22)]","[np.float64(0.02323779778161437), np.float64(0.0843279379131617), np.float64(0.011145239152453416), np.float64(0.003267207175663696), np.float64(0.05419776923197451)]","[np.str_('(PART, ->, SCONJ, root)'), np.str_('(INTJ, <-, X, cc)'), np.str_('(PRON, <-, VERB, cc)'), np.str_('(NOUN, <-, X, appos)'), np.str_('(X, <-, PRON, advmod)')]",Convlab
26,26,"[np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(24.474510721194736), np.float64(10.323421547969543), np.float64(9.156746222869522)]","[np.int64(320), np.int64(1051), np.int64(1983), np.int64(1904), np.int64(1081)]","[np.float64(0.000947605084789913), np.float64(0.000947605084789913), np.float64(0.000947605084789913), np.float64(0.000947605084789913), np.float64(0.000947605084789913)]","[np.str_('(NUM, ->, PRON, iobj)'), np.str_('(ADJ, ->, NUM, amod)'), np.str_('(PAD, ->, NOUN, obl)'), np.str_('(NOUN, <-, ADV, conj)'), np.str_('(PROPN, <-, NOUN, appos)')]",Derevyanko
27,27,"[np.float64(22.763364077829348), np.float64(20.36879457935334), np.float64(12.005841132129797), np.float64(9.248561185455126), np.float64(8.649269760639177)]","[np.int64(19), np.int64(214), np.int64(16), np.int64(254), np.int64(50)]","[np.float64(0.01810043793579237), np.float64(0.06381992713807293), np.float64(0.03620087587158474), np.float64(0.01810043793579237), np.float64(0.01810043793579237)]","[np.str_('(VERB, <-, ADV, parataxis)'), np.str_('(PRON, ->, NOUN, root)'), np.str_('(PRON, ->, ADV, advmod)'), np.str_('(PRON, ->, DET, acl)'), np.str_('(VERB, <-, VERB, advcl)')]",DoctorPiter
28,28,"[np.float64(3.791654716416054), np.float64(3.025324149878867), np.float64(3.0029486765036704), np.float64(2.9866342983713525), np.float64(2.842972612945842)]","[np.int64(958), np.int64(1928), np.int64(1326), np.int64(1714), np.int64(803)]","[np.float64(0.0032534521305219517), np.float64(0.002371817208967281), np.float64(0.0021492558736611422), np.float64(0.00659625328259819), np.float64(0.0007771362310960491)]","[np.str_('(PAD, <-, VERB, obl)'), np.str_('(ADJ, ->, ADV, nsubj)'), np.str_('(VERB, <-, ADJ, root)'), np.str_('(SCONJ, <-, ADV, root)'), np.str_('(PART, <-, NOUN, punct)')]",Dombrowski
29,29,"[np.float64(16.778789669521327), np.float64(12.982604006012805), np.float64(7.581478523322159), np.float64(7.17409193913863), np.float64(6.383100268489034)]","[np.int64(1652), np.int64(1767), np.int64(1918), np.int64(129), np.int64(1856)]","[np.float64(0.0018055439954597111), np.float64(0.0018055439954597111), np.float64(0.0018055439954597111), np.float64(0.0018055439954597111), np.float64(0.0018055439954597111)]","[np.str_('(NOUN, <-, VERB, iobj)'), np.str_('(ADV, ->, PUNCT, amod)'), np.str_('(PRON, <-, DET, obl)'), np.str_('(ADJ, <-, DET, advcl)'), np.str_('(PART, ->, NOUN, nsubj)')]",Doronina
30,30,"[np.float64(2.8381954251434824), np.float64(2.8267459197771205), np.float64(2.473256804872581), np.float64(2.4256747025464223), np.float64(2.423412586759087)]","[np.int64(284), np.int64(1387), np.int64(738), np.int64(21), np.int64(1776)]","[np.float64(0.02712027511979599), np.float64(0.011611599791987753), np.float64(0.004759233421019105), np.float64(0.008413366185761528), np.float64(0.005361072592739351)]","[np.str_('(VERB, ->, VERB, mark)'), np.str_('(VERB, ->, CCONJ, aux)'), np.str_('(CCONJ, ->, VERB, acl:relcl)'), np.str_('(SYM, <-, PROPN, parataxis)'), np.str_('(VERB, <-, PAD, orphan)')]",Dostoevsky
31,31,"[np.float64(3.4963586744563906), np.float64(3.430166331075438), np.float64(3.3269555563008315), np.float64(3.269628261121486), np.float64(3.147526536125737)]","[np.int64(1569), np.int64(309), np.int64(299), np.int64(196), np.int64(922)]","[np.float64(0.0019127900818955395), np.float64(0.014722555201900625), np.float64(0.013486967061782873), np.float64(0.008183756299206988), np.float64(0.015258047290018886)]","[np.str_('(ADV, <-, PROPN, advmod)'), np.str_('(PART, ->, NOUN, fixed)'), np.str_('(PART, <-, VERB, conj)'), np.str_('(ADP, ->, PART, root)'), np.str_('(ADJ, <-, PRON, conj)')]",Dovlatov
32,32,"[np.float64(7.176951257644576), np.float64(6.118627680298686), np.float64(5.799341924467737), np.float64(5.7013146131893455), np.float64(5.535107895631841)]","[np.int64(227), np.int64(17), np.int64(267), np.int64(1733), np.int64(939)]","[np.float64(0.0028805872091857746), np.float64(0.0007225170204367141), np.float64(0.002566165714690398), np.float64(0.0005627138147646381), np.float64(0.0031288795294550364)]","[np.str_('(ADV, <-, DET, parataxis)'), np.str_('(PRON, ->, ADJ, orphan)'), np.str_('(VERB, ->, NOUN, advcl)'), np.str_('(PROPN, <-, INTJ, root)'), np.str_('(PRON, ->, ADP, conj)')]",Dragunski
33,33,"[np.float64(6.710558959714737), np.float64(6.279727101350616), np.float64(6.0626082321986745), np.float64(3.607420076199387), np.float64(3.5609894921795404)]","[np.int64(195), np.int64(88), np.int64(200), np.int64(111), np.int64(42)]","[np.float64(0.0296440845785171), np.float64(0.0296440845785171), np.float64(0.0296440845785171), np.float64(0.014049602478430756), np.float64(0.030741591553603557)]","[np.str_('(PROPN, <-, NOUN, amod)'), np.str_('(ADJ, <-, ADJ, nsubj)'), np.str_('(ADV, <-, ADJ, conj)'), np.str_('(VERB, <-, PART, parataxis)'), np.str_('(PROPN, <-, ADJ, iobj)')]",Drobyshevsky Rupasova
34,34,"[np.float64(11.565195764841182), np.float64(11.532654082016927), np.float64(11.51670504465281), np.float64(11.014218090015788), np.float64(10.83049591100749)]","[np.int64(50), np.int64(400), np.int64(51), np.int64(1539), np.int64(17)]","[np.float64(0.12220033513073514), np.float64(0.08441553810429865), np.float64(0.014415622181744173), np.float64(0.030807565038269036), np.float64(0.15252929272062588)]","[np.str_('(VERB, <-, VERB, advcl)'), np.str_('(ADJ, <-, ADV, advcl)'), np.str_('(ADJ, <-, VERB, nsubj)'), np.str_('(X, <-, VERB, advcl)'), np.str_('(PRON, ->, ADJ, orphan)')]",Drobyshevsky
35,35,"[np.float64(6.440119507446179), np.float64(4.824580833340157), np.float64(4.5042736962131915), np.float64(4.486270775315193), np.float64(4.178761547285711)]","[np.int64(724), np.int64(1675), np.int64(1993), np.int64(51), np.int64(111)]","[np.float64(0.004664986412998274), np.float64(0.004664986412998274), np.float64(0.004664986412998274), np.float64(0.009329972825996548), np.float64(0.023324932064991373)]","[np.str_('(PART, <-, PRON, orphan)'), np.str_('(NOUN, <-, ADJ, parataxis)'), np.str_('(SCONJ, ->, ADV, nsubj)'), np.str_('(ADJ, <-, VERB, nsubj)'), np.str_('(VERB, <-, PART, parataxis)')]",Dubchak
36,36,"[np.float64(9.463689477729059), np.float64(6.7518680077542905), np.float64(5.193351404983654), np.float64(4.877639697026979), np.float64(4.032427338103382)]","[np.int64(50), np.int64(140), np.int64(33), np.int64(940), np.int64(19)]","[np.float64(0.03959278076585589), np.float64(0.04516447794859916), np.float64(0.05938917114878383), np.float64(0.0034678941812830216), np.float64(0.03959278076585589)]","[np.str_('(VERB, <-, VERB, advcl)'), np.str_('(ADV, <-, ADV, fixed)'), np.str_('(NOUN, ->, VERB, amod)'), np.str_('(PROPN, <-, NOUN, nummod)'), np.str_('(VERB, <-, ADV, parataxis)')]",EdimDoma
37,37,"[np.float64(3.9441975995509413), np.float64(2.9862108383440233), np.float64(2.7956670322456576), np.float64(2.7193900801327486), np.float64(2.719390080132748)]","[np.int64(0), np.int64(1320), np.int64(3), np.int64(739), np.int64(1164)]","[np.float64(0.09652353645529858), np.float64(0.030147663583039188), np.float64(0.09359810918359265), np.float64(0.00035116529653070783), np.float64(0.0004405645203727745)]","[np.str_('(DET, ->, VERB, cop)'), np.str_('(PRON, <-, ADP, fixed)'), np.str_('(CCONJ, <-, ADV, root)'), np.str_('(PRON, <-, NOUN, acl:relcl)'), np.str_('(VERB, ->, X, case)')]",Efremov
38,38,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398245), np.float64(8.158170240398245), np.float64(8.158170240398245)]","[np.int64(1900), np.int64(1397), np.int64(1679), np.int64(1437), np.int64(1007)]","[np.float64(0.0007188583162448178), np.float64(0.0007188583162448178), np.float64(0.0010522076183672627), np.float64(0.0010522076183672627), np.float64(0.0010522076183672627)]","[np.str_('(SCONJ, <-, ADP, mark)'), np.str_('(DET, ->, X, appos)'), np.str_('(PROPN, ->, PUNCT, root)'), np.str_('(ADP, ->, INTJ, appos)'), np.str_('(ADP, ->, NOUN, amod)')]",Epstein
39,39,"[np.float64(4.894902144238948), np.float64(4.678159825702434), np.float64(4.445153604809029), np.float64(4.3980952028963305), np.float64(4.273646653269894)]","[np.int64(1524), np.int64(1083), np.int64(264), np.int64(1992), np.int64(274)]","[np.float64(0.0007245885435128037), np.float64(0.0007245885435128037), np.float64(0.0007245885435128037), np.float64(0.0020139675703586633), np.float64(0.0007245885435128037)]","[np.str_('(VERB, ->, PRON, root)'), np.str_('(NOUN, ->, ADV, obl)'), np.str_('(PRON, ->, CCONJ, cc)'), np.str_('(VERB, ->, INTJ, advmod)'), np.str_('(ADV, ->, NOUN, obj)')]",Exler
40,40,"[np.float64(6.118627680298683), np.float64(4.251854932604841), np.float64(3.9146091357238637), np.float64(2.9295551617291262), np.float64(2.624947897128029)]","[np.int64(442), np.int64(1171), np.int64(1254), np.int64(1060), np.int64(643)]","[np.float64(0.0006405367710927438), np.float64(0.0007079514511356741), np.float64(0.0007079514511356741), np.float64(0.0007079514511356741), np.float64(0.0006820555269280996)]","[np.str_('(PROPN, <-, X, nsubj)'), np.str_('(VERB, <-, ADJ, orphan)'), np.str_('(VERB, <-, VERB, appos)'), np.str_('(NOUN, ->, PROPN, amod)'), np.str_('(ADV, <-, VERB, nsubj)')]",Fadeev
